word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,a8,h8,v8,a9,h9,v9
bocht,0,0,5,3,0,5,2,0,5,5,2,5,0,0,5,3,2,5,0,0,3,0,2,4,1,3,4
inhoud,3,0,5,3,0,4,4,1,5,4,3,3,3,3,3,3,1,5,0,0,3,1,4,4,0,1,4
blijven,2,2,5,3,1,4,0,0,5,4,2,0,2,2,0,4,4,4,0,0,1,0,3,4,1,2,4
zaad,5,0,5,2,0,3,2,0,5,3,0,0,5,0,0,5,1,5,0,0,0,0,3,4,4,0,3
ondeugd,2,0,0,1,2,3,0,3,4,2,1,0,2,2,2,2,2,2,0,1,1,3,3,3,0,0,4
boosheid,0,5,5,2,3,4,0,5,5,2,3,1,1,4,5,3,5,5,0,2,4,4,3,4,0,5,4
promotie,0,2,0,0,2,3,2,4,4,1,1,1,4,3,3,0,4,3,0,1,3,4,1,4,2,1,5
gebied,5,0,5,1,2,4,2,0,3,4,3,5,1,2,5,4,4,5,0,1,4,2,2,5,2,0,4
deel,0,0,5,1,0,3,0,0,0,3,2,4,0,0,0,3,0,5,0,0,1,2,0,4,,,
afbeelding,0,0,5,1,0,5,0,0,5,5,5,5,1,0,5,0,0,5,1,3,5,0,0,5,3,0,5
mond,5,5,5,3,4,2,5,0,5,4,2,5,4,4,1,5,4,5,2,2,5,4,4,3,1,5,4
school,2,0,5,2,4,4,0,0,5,5,5,5,3,3,3,2,5,5,3,3,5,4,3,4,3,1,4
kamp,2,0,5,2,4,4,0,0,5,3,2,1,3,3,3,1,4,5,0,0,0,3,2,4,2,1,4
substituut,2,0,5,1,1,3,0,0,4,2,2,0,4,0,0,1,1,1,0,0,0,1,2,4,,,
reflectie,0,5,0,2,0,5,0,0,5,2,4,1,0,0,5,0,5,3,0,0,1,0,0,5,0,0,5
vacuüm,0,0,0,2,0,4,0,0,0,0,0,2,0,5,0,4,3,5,0,0,0,0,0,0,5,2,3
sergeant,0,0,0,0,2,4,0,4,5,0,0,0,0,5,4,0,5,5,0,0,1,4,2,4,3,4,1
productie,5,5,5,0,2,4,0,0,0,3,4,4,0,4,0,3,3,5,0,1,1,4,4,3,2,0,3
wind,5,5,3,4,3,1,3,4,0,4,3,5,3,5,3,5,5,3,3,3,3,2,3,0,4,4,0
prijs,0,0,5,0,0,2,5,0,0,5,5,5,0,0,5,0,0,5,1,3,4,3,2,4,,,
voorbereiding,0,0,0,1,1,3,0,0,0,4,4,1,0,0,0,0,4,4,0,4,2,2,0,2,2,1,4
oplossing,0,0,1,0,1,3,0,0,0,4,5,3,0,3,4,2,4,5,0,3,3,2,1,2,1,2,3
genot,0,0,0,2,2,4,0,5,0,5,4,3,5,5,5,5,3,3,0,0,0,3,3,3,0,0,4
arbeider,5,0,5,0,1,3,0,0,0,4,4,5,0,4,4,3,3,4,2,2,5,2,3,4,2,2,4
kennis,0,0,0,1,3,4,0,5,0,4,4,4,0,4,5,4,5,5,0,4,0,4,0,3,0,0,3
streling,5,0,5,4,2,3,5,0,0,1,0,1,5,0,0,5,0,4,1,0,1,0,5,3,5,0,3
neiging,0,0,0,1,1,3,0,0,0,4,3,0,0,0,0,2,4,5,0,2,0,3,0,3,0,0,1
plaats,0,0,5,1,2,3,0,0,5,4,3,5,0,4,0,0,3,5,1,0,4,0,2,4,1,0,2
drie,0,0,0,0,2,3,0,0,0,0,2,3,0,0,0,0,0,5,0,4,4,3,0,3,0,0,1
kwaliteit,0,0,5,3,1,3,5,5,5,4,3,2,5,3,5,5,5,5,0,3,1,3,4,4,0,0,3
vreemdeling,0,0,5,0,2,3,0,0,5,5,5,2,0,0,1,2,2,4,2,5,4,2,1,4,1,1,4
bouwer,0,0,5,0,2,3,0,0,5,4,4,2,0,5,5,0,4,5,0,4,4,2,5,4,0,2,3
nieuwsgierigheid,0,5,0,2,2,4,0,0,0,2,2,0,5,5,5,4,4,4,0,2,3,3,2,5,0,0,3
bureau,3,0,5,3,0,2,5,0,5,3,0,5,0,0,0,3,0,5,5,3,5,1,3,3,3,0,4
titel,0,0,5,0,3,3,0,5,0,4,2,5,0,0,1,0,2,5,0,3,3,2,0,4,0,0,2
oorzaak,0,2,0,0,1,3,0,0,0,3,2,3,0,2,3,2,1,4,0,3,0,2,1,3,0,0,1
probleem,5,0,0,0,3,3,0,0,0,4,4,2,0,0,0,4,4,5,0,2,2,2,1,3,0,0,2
filosofie,5,0,0,0,2,2,0,0,0,1,2,0,4,0,0,0,3,2,0,0,0,4,0,2,,,
poging,5,0,0,0,2,3,0,0,0,3,3,1,0,0,0,3,3,3,0,3,0,1,1,3,0,0,3
geest,5,0,0,1,2,3,5,0,0,0,0,2,0,4,0,1,1,0,0,1,0,4,0,0,0,0,0
drukte,5,5,5,2,3,4,5,5,5,4,5,4,0,5,5,3,5,5,0,3,5,5,2,4,0,3,4
tikje,5,5,5,1,1,2,5,0,0,0,0,0,5,0,1,5,2,4,0,3,3,1,4,2,,,
fout,3,0,0,1,2,2,5,0,0,4,4,5,0,0,0,4,4,4,0,5,5,3,1,4,0,0,4
crisis,5,5,5,1,2,3,5,0,0,2,2,3,0,0,0,0,4,4,0,0,1,3,1,2,0,2,3
baas,0,2,5,0,2,2,0,0,5,1,2,1,0,5,5,0,4,5,1,2,4,4,1,3,1,3,5
primair,5,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2
nacht,0,2,5,2,2,4,0,0,5,3,3,5,0,5,5,5,5,5,0,0,5,2,0,4,0,0,4
god,5,5,5,1,2,3,5,0,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
plan,0,0,2,0,2,1,0,0,0,4,3,0,0,0,0,1,4,4,0,4,2,4,2,4,0,0,2
gelach,0,5,5,2,4,3,5,5,5,2,5,5,0,5,5,2,5,5,0,5,5,5,1,4,0,5,3
relatie,5,5,5,2,2,4,5,0,5,4,4,5,5,5,5,5,3,3,0,3,3,3,3,4,1,3,2
genezing,5,5,5,1,1,3,0,0,0,2,3,1,3,3,3,5,1,4,0,3,3,1,3,2,3,0,5
wachten,5,0,0,0,1,3,5,0,0,3,1,4,0,0,0,5,2,3,0,2,4,2,2,4,0,0,4
trend,5,0,5,0,2,3,0,0,0,2,1,0,0,0,5,1,3,5,0,0,0,2,2,5,0,0,3
slavernij,5,0,5,2,2,3,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,2,3,4,2,3,3
dik,5,0,5,2,1,3,5,0,5,3,2,4,0,0,5,2,0,5,0,0,4,2,2,5,3,0,5
letsel,5,5,5,2,2,4,0,0,5,1,0,3,2,0,4,3,2,5,1,0,3,2,4,4,4,0,5
harmonie,3,2,5,1,0,3,0,0,0,1,0,0,0,5,5,5,2,3,0,0,3,5,2,3,0,5,4
kus,5,5,5,2,1,3,5,0,5,3,2,1,5,5,5,5,2,3,1,2,4,2,5,4,5,1,5
toelating,5,2,5,1,2,3,0,0,0,4,2,3,0,0,0,5,2,5,0,1,1,2,0,4,0,0,2
klap,5,5,5,3,2,3,5,5,5,0,4,0,5,0,0,5,4,4,1,1,2,3,5,5,4,1,3
lichaam,5,2,5,2,1,3,5,0,5,3,3,5,4,4,4,5,1,5,3,3,5,1,4,4,4,0,3
ontharder,5,2,5,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,2,2,0,0,3
route,5,0,5,1,2,3,0,0,5,4,2,3,0,0,0,1,3,4,0,0,3,1,1,4,0,0,4
omzoming,0,0,5,2,1,3,0,0,0,0,0,0,0,0,0,2,0,5,1,0,3,0,3,4,,,
dood,5,5,5,3,2,4,0,0,5,3,1,1,0,0,5,5,0,4,0,5,5,1,2,3,0,0,4
verpleger,5,2,5,1,2,3,0,0,5,0,1,0,2,2,2,2,0,5,2,3,4,1,4,4,0,2,3
informatie,1,5,5,1,3,2,0,0,5,4,5,5,5,5,5,0,5,5,3,5,5,4,1,4,0,0,4
spoor,3,2,5,1,2,3,0,0,0,3,3,4,0,0,5,1,5,5,0,3,3,3,2,4,1,1,3
gereedschap,5,0,5,2,1,3,0,0,5,4,1,3,5,5,5,4,2,5,4,4,4,3,4,4,4,1,4
misdrijf,5,5,5,1,2,3,0,0,0,0,3,0,0,0,5,2,0,2,0,2,2,2,4,2,0,0,4
eeuw,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
kelder,5,5,5,1,1,3,0,0,5,0,1,1,0,0,5,3,1,5,1,0,3,2,3,3,1,0,4
talent,5,3,5,0,2,3,5,0,5,4,3,3,0,5,5,0,4,3,0,0,0,3,2,4,0,0,4
depressie,5,0,5,1,2,3,5,0,5,1,1,4,0,0,0,0,4,4,0,0,1,3,2,2,0,0,5
tante,5,5,5,1,2,3,0,0,5,0,3,2,0,0,5,2,4,5,2,4,2,2,2,4,1,2,3
vrijwilliger,5,5,5,0,2,2,0,0,5,3,4,4,0,0,0,4,3,5,2,4,2,2,2,3,0,0,4
muziek,5,5,0,2,4,3,0,5,0,3,5,3,5,5,0,3,5,0,0,5,2,5,0,1,0,5,1
breuk,3,2,5,2,2,3,5,0,0,1,2,2,0,0,0,4,1,3,0,1,1,2,4,3,4,1,4
atoom,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,4,4
dak,5,5,5,1,0,3,0,0,5,3,3,5,0,0,0,0,0,4,0,0,5,0,2,4,3,0,5
achtergrond,5,0,5,0,2,3,0,0,0,3,2,3,5,0,5,0,0,4,0,0,5,2,0,3,0,0,4
welzijn,5,5,5,1,1,3,5,0,0,3,1,0,5,0,5,4,2,2,0,3,0,2,0,2,0,0,3
ambacht,3,1,5,1,0,3,5,0,5,4,0,4,0,5,5,5,2,5,1,1,3,2,4,4,2,2,4
thema,5,2,2,0,2,2,0,0,0,4,1,3,5,5,5,1,2,4,0,2,4,2,0,4,0,0,3
besmetting,5,5,5,3,0,2,5,5,0,0,4,0,0,0,0,5,3,3,0,3,0,0,2,0,0,0,2
haat,5,5,5,1,2,3,5,0,5,2,1,1,2,4,5,5,4,3,0,0,2,3,3,3,0,3,3
bouw,0,5,5,0,2,3,0,0,5,3,1,2,0,5,5,0,0,5,1,4,3,4,4,4,4,3,4
amateur,2,0,5,0,1,3,0,0,0,3,4,0,0,0,4,3,3,3,1,1,1,1,2,3,1,2,4
mythe,2,5,5,1,3,2,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0,3,0,3,0,4,0
vertrouwen,5,5,5,2,2,1,5,0,0,3,4,3,5,5,5,5,3,2,0,2,2,3,1,3,1,2,4
sterkte,5,5,2,2,2,1,5,0,0,4,2,0,0,0,5,,,,0,2,2,3,3,2,0,0,2
spanning,5,5,5,2,2,3,5,0,0,4,3,2,4,4,4,5,4,4,1,2,2,3,0,3,0,3,2
afval,5,1,5,1,1,3,0,5,5,4,2,4,0,0,0,1,0,5,5,2,5,1,2,4,3,0,4
item,0,3,5,2,1,3,0,0,5,3,3,2,5,4,4,0,0,5,5,0,5,3,2,4,3,0,3
raad,0,5,5,0,3,1,0,0,0,2,0,0,5,3,0,1,5,2,0,5,2,4,0,1,0,4,0
basis,0,5,5,1,1,3,0,0,0,2,0,0,4,0,5,3,0,0,0,0,0,3,2,4,0,2,1
uitzicht,2,0,5,1,1,3,0,0,5,1,0,4,1,0,5,1,0,5,0,3,0,1,0,4,0,0,5
republiek,2,5,5,0,1,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4
verklaring,5,5,5,1,3,2,0,0,0,3,4,0,0,0,0,0,4,2,0,0,4,4,0,3,0,4,2
wiel,5,5,2,1,2,3,0,0,5,1,0,5,0,0,0,1,3,5,1,5,4,2,3,4,3,1,5
schelp,5,5,5,2,0,3,0,0,5,0,0,0,2,5,2,1,4,5,1,1,4,0,3,4,3,2,4
aspect,1,2,5,,,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3
conditie,5,2,5,1,2,2,5,0,0,4,4,2,0,4,4,5,2,3,0,0,0,1,2,4,0,0,4
kogel,0,5,2,1,3,2,5,0,5,0,0,0,0,0,0,0,1,4,0,3,1,4,4,3,3,3,4
overwinning,5,5,5,1,3,3,5,0,0,4,4,4,2,4,4,5,5,4,0,3,2,4,3,3,0,3,4
rol,5,2,5,0,2,3,5,0,0,2,1,0,0,0,0,4,4,5,1,1,1,2,0,2,1,3,3
symbool,0,3,5,2,1,3,0,0,5,3,0,4,0,0,5,0,0,5,1,0,4,0,2,4,0,0,5
behoefte,5,5,5,1,2,2,5,0,0,4,2,0,0,0,0,2,2,3,0,0,0,2,0,2,0,0,3
poeder,5,1,2,1,0,3,0,0,5,3,1,3,1,0,0,5,0,5,1,0,1,0,4,3,4,0,4
hel,5,5,5,1,2,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nederlaag,5,2,5,1,2,3,5,0,0,3,4,2,0,5,5,4,1,2,0,3,2,2,2,3,0,0,3
proportie,0,3,5,1,0,3,0,0,5,3,2,3,0,0,0,,,,0,0,0,0,0,2,3,0,3
pond,0,2,5,1,0,3,5,0,0,2,1,2,0,0,0,2,0,5,0,1,1,0,4,2,2,0,3
westen,5,2,5,0,0,2,0,0,5,4,0,3,2,2,2,0,0,4,0,3,0,0,0,0,0,0,2
hulp,0,3,5,0,2,3,5,0,0,4,3,2,4,4,4,5,3,3,2,4,3,2,3,3,0,3,3
koelkast,5,5,5,2,1,3,0,0,5,3,2,5,4,1,4,2,4,5,5,5,5,2,4,4,3,0,4
massage,5,1,2,3,1,2,5,0,0,1,2,0,5,4,4,5,1,4,3,1,1,1,5,3,5,0,4
stop,5,5,5,0,2,2,5,0,0,4,2,3,0,0,0,1,1,4,0,2,2,2,3,4,0,0,2
student,5,2,5,1,2,3,5,0,5,5,5,5,0,0,5,5,4,3,3,5,5,3,3,3,2,0,3
stijgen,2,0,5,1,2,3,5,0,0,4,3,3,0,5,5,5,2,5,0,0,0,2,3,4,0,0,3
tekst,3,0,5,1,3,2,0,0,5,3,5,5,4,4,4,0,0,5,3,5,5,2,0,4,0,0,5
geld,5,5,5,2,2,3,5,0,5,4,4,5,1,1,1,1,2,5,4,3,4,2,3,3,4,0,5
contract,5,5,5,1,1,3,5,0,5,2,3,1,5,0,4,0,2,5,0,1,1,1,3,3,0,0,3
grafiek,5,3,5,0,0,3,0,0,5,2,2,3,0,0,5,0,0,5,3,5,5,0,0,4,0,0,5
plug,5,0,5,,,,0,0,5,2,0,2,0,0,0,,,,5,5,5,0,2,4,,,
poëzie,5,5,5,1,3,2,5,0,5,1,0,0,4,4,4,0,5,3,0,0,0,4,1,4,0,3,0
klant,5,5,5,1,2,3,0,0,5,3,2,2,5,5,5,0,4,4,0,4,4,3,2,4,1,3,3
apparaat,5,5,0,2,2,3,0,0,5,4,5,5,0,0,0,2,3,5,5,5,5,2,4,4,3,1,4
afsluiting,3,2,5,1,1,3,5,0,0,2,3,4,0,0,0,2,0,5,0,0,3,2,1,3,1,0,2
verscheidenheid,0,0,0,0,2,3,0,0,0,4,1,3,0,0,0,5,4,3,0,0,0,2,0,4,0,0,3
neef,5,5,5,1,2,3,0,0,5,2,1,0,4,3,3,3,3,5,1,2,1,1,2,2,1,2,5
venster,2,0,5,1,1,3,0,0,5,1,0,5,0,0,5,1,0,5,1,0,5,2,4,1,,,
tractor,5,5,5,1,3,3,0,0,5,0,0,1,0,5,5,1,4,3,1,4,3,4,3,4,2,4,5
personeel,3,2,3,1,2,3,0,0,5,2,3,5,1,1,1,0,3,5,1,4,4,3,2,4,0,2,4
dichter,5,5,5,1,3,2,0,0,0,2,1,0,0,4,0,2,5,4,0,0,0,3,2,4,0,3,3
