word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,a8,h8,v8,a9,h9,v9,a10,h10,v10
aards,,,,,,,3,5,2,0,0,1,,,,1,0,3,4,0,3,,,,0,0,0,3,0,3
absorberend,,,,3,2,2,1,3,1,2,1,3,0,2,4,1,0,4,0,0,1,1,1,1,1,0,0,3,0,4
amber,,,,,,,5,3,1,0,0,0,,,,0,0,3,0,0,5,1,1,5,0,2,0,0,0,5
barstend,,,,1,2,2,1,1,3,1,1,2,3,4,4,3,1,3,3,2,4,5,1,3,1,1,0,5,4,4
beige,,,,2,0,4,5,4,4,0,0,4,0,0,3,0,0,3,0,0,5,1,1,5,0,2,0,0,0,5
bewolkt,2,0,4,2,3,4,2,5,5,0,2,3,0,0,4,0,0,4,0,0,5,1,1,5,1,3,3,0,0,5
blauw,,,,0,0,0,2,4,4,0,2,5,0,0,3,0,0,3,0,0,5,1,1,5,0,0,1,0,0,5
bloedig,5,0,4,0,0,2,4,5,2,1,0,3,0,0,3,4,0,3,1,1,4,1,4,5,1,2,1,1,0,5
blond,2,0,4,0,2,3,1,1,5,0,0,5,0,0,5,0,0,3,0,0,5,1,1,5,3,1,1,0,0,5
bonzend,4,5,1,,,,,,,5,5,0,2,5,3,3,3,0,,,,3,2,3,3,2,0,5,3,2
botsend,,,,3,2,2,5,5,2,1,2,1,,,,2,3,4,0,4,4,4,1,1,1,0,0,0,3,5
breed,,,,,,,,,,0,0,3,,,,,,,,,,,,,,,,,,
breekbaar,4,1,4,3,3,3,5,3,2,3,4,3,0,0,0,2,0,2,2,4,5,1,3,4,3,0,0,0,0,4
briesend,,,,3,4,4,2,4,2,0,2,0,5,4,4,4,3,1,1,3,4,5,1,1,1,0,0,0,5,4
briljant,,,,0,1,1,4,2,3,0,2,0,0,5,5,0,0,4,0,0,0,1,1,1,0,0,0,0,3,3
brommend,5,0,4,0,2,2,1,5,1,0,3,0,0,5,2,0,3,3,0,5,0,5,1,1,1,1,3,1,5,0
bronzen,,,,0,0,0,2,1,3,0,0,0,0,0,3,0,0,4,0,0,5,1,1,5,0,0,0,0,0,5
bruin,,,,3,2,3,1,1,2,0,0,5,0,0,3,0,0,3,0,0,5,1,1,5,0,2,0,0,0,5
bruinharig,2,0,5,5,3,5,5,5,2,0,0,5,0,0,5,0,4,4,0,0,5,1,1,5,3,2,5,0,0,5
circulair,,,,1,3,3,3,4,2,0,0,0,5,0,5,,,,,,,,,,1,0,0,5,0,1
compact,,,,1,1,2,1,3,2,0,0,3,0,0,5,2,0,3,4,0,4,1,2,3,0,2,1,3,0,5
conisch,,,,0,0,0,,,,0,0,0,,,,,,,,,,1,4,4,1,0,3,4,0,5
