word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,a8,h8,v8,a9,h9,v9,a10,h10,v10
diep,4,0,3,4,2,4,1,5,4,0,1,3,5,4,4,2,0,4,1,1,3,1,5,5,2,2,0,0,0,5
dik,,,,4,3,3,3,2,3,2,0,3,2,1,5,3,0,4,3,0,5,1,4,4,1,0,2,4,0,5
dof,,,,2,3,3,1,4,5,0,2,0,0,5,4,0,3,0,0,0,3,4,1,4,1,0,0,0,4,5
donderend,,,,2,5,2,3,2,2,0,2,2,0,5,3,0,4,2,0,5,0,5,1,1,0,2,0,0,5,0
donker,,,,0,2,1,5,1,1,0,0,5,0,0,4,0,0,4,0,0,5,1,1,5,1,0,0,0,0,5
donzig,5,0,4,3,2,2,3,2,4,5,1,5,2,0,2,4,0,2,5,0,3,1,5,4,1,2,1,5,0,4
dood,,,,0,0,0,3,2,5,0,2,1,0,0,0,0,0,4,0,0,2,1,1,4,0,0,1,3,0,5
druk,,,,,,,2,3,5,0,0,5,1,5,5,0,4,4,0,0,0,1,5,1,1,0,0,4,4,5
elegant,,,,3,2,5,2,4,4,0,0,4,0,3,4,0,0,3,0,0,0,1,1,5,0,2,0,0,0,5
enorm,,,,0,2,1,4,5,2,0,0,4,2,0,5,3,0,2,3,0,3,1,3,5,0,0,0,4,0,5
fluisterend,5,3,2,3,2,2,1,4,2,0,5,0,0,5,0,0,4,1,0,5,2,5,1,1,1,0,0,0,5,0
fluitend,,,,0,0,0,4,2,2,0,5,5,0,5,0,0,2,1,0,5,3,5,1,1,0,3,2,0,5,0
geblokt,,,,4,3,5,5,2,2,0,0,1,0,3,5,0,0,4,0,0,5,1,1,5,0,0,0,0,3,4
gebogen,,,,2,3,3,5,2,4,5,2,5,5,0,3,3,0,3,2,0,3,1,5,5,1,0,0,4,0,5
gebroken,,,,0,1,1,5,5,2,1,0,2,3,3,3,3,0,2,3,3,3,1,3,4,1,1,0,2,4,5
geluidloos,,,,2,3,2,1,4,2,0,5,0,0,5,0,0,3,1,0,5,0,5,1,1,1,0,0,0,5,0
geplooid,0,4,0,3,2,3,4,2,3,0,0,0,0,0,0,3,0,3,4,0,2,1,5,3,1,1,3,3,0,5
geschubd,2,0,4,0,0,0,5,3,1,0,0,0,5,0,3,3,0,3,3,0,3,1,5,5,1,2,2,4,4,5
getand,,,,0,2,2,2,2,5,0,0,0,,,,3,0,3,3,0,2,1,5,5,1,0,0,4,0,5
gevlekt,,,,,,,,,,0,0,3,,,,,,,,,,,,,,,,,,
gevormd,,,,1,2,2,2,4,4,0,0,4,4,3,3,2,0,3,4,0,3,1,5,5,1,0,0,5,4,0
gevouwen,3,0,4,3,0,2,2,2,4,2,0,5,2,0,3,2,0,4,2,0,3,1,4,5,1,2,5,2,0,5
gewelfd,,,,2,3,2,,,,0,0,0,,,,,,,0,0,5,1,5,5,1,2,0,4,0,5
gillend,,,,0,0,0,4,2,4,0,2,3,0,5,3,0,4,1,0,5,0,5,1,1,0,3,1,0,5,0
groot,,,,2,3,3,2,3,2,0,0,5,0,0,5,3,0,5,2,0,5,1,4,5,2,0,1,5,0,5
hard,,,,5,2,4,4,5,4,3,0,3,5,1,1,,,,4,0,2,5,5,1,1,0,0,5,0,3
heet,,,,3,3,2,2,2,1,0,0,0,4,0,0,4,0,2,5,0,0,1,5,1,3,0,0,5,0,2
helder,,,,0,1,1,1,1,5,0,1,5,0,3,3,0,0,4,0,0,5,1,1,5,2,0,1,0,5,5
hoekig,4,0,4,5,2,4,5,4,3,3,1,5,2,0,5,2,0,3,4,0,4,1,5,5,2,2,3,4,0,5
huilerig,0,1,5,2,2,1,5,3,2,1,3,3,2,5,5,1,3,3,0,3,3,4,1,4,1,2,1,0,5,4
jammerend,,,,2,3,3,3,5,2,0,1,0,0,5,3,0,3,1,0,3,3,5,1,1,1,0,1,0,5,0
jankend,3,4,2,0,1,1,1,5,5,5,2,3,0,5,5,1,4,4,0,3,3,4,1,4,1,3,2,0,5,5
jeukend,,,,2,3,2,4,4,3,1,1,0,5,0,0,4,0,0,5,0,1,1,5,1,1,0,0,5,0,3
jodelend,,,,0,0,0,3,5,3,0,0,0,0,0,0,0,4,1,0,5,0,5,1,1,0,1,1,0,5,4
karmozijn,,,,,,,,,,0,0,0,,,,,,,,,,1,1,5,0,0,0,0,0,5
kladderig,,,,1,1,1,,,,0,0,0,,,,0,0,3,0,0,5,1,4,5,0,2,0,0,0,5
kleurrijk,,,,1,3,3,2,3,4,0,0,5,0,0,5,0,0,4,0,0,5,1,1,5,1,0,0,0,0,5
klonterig,,,,2,3,3,1,3,5,1,1,2,4,2,3,3,0,3,5,0,5,1,5,5,0,0,0,3,0,5
kokend,,,,2,3,3,4,2,1,5,5,5,0,0,3,0,1,4,5,3,4,2,4,5,0,4,1,5,0,5
kolossaal,2,4,4,0,2,2,2,1,3,0,0,3,0,0,5,3,0,3,3,0,3,2,4,4,5,2,3,4,0,5
korrelig,4,0,2,2,0,3,3,3,3,5,0,2,3,2,5,3,0,1,,,,1,5,3,2,1,0,0,0,5
krassend,,,,0,3,2,1,4,4,0,1,0,0,0,0,0,3,2,3,4,2,5,1,1,2,0,1,0,5,0
krijsend,,,,1,0,2,3,2,5,0,1,1,1,5,4,0,4,1,0,5,0,5,1,2,0,2,1,0,5,5
krullend,,,,4,3,3,2,4,2,0,0,5,2,0,3,3,0,3,5,0,5,1,4,4,0,3,1,5,0,5
lauw,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,
leeg,,,,0,0,0,1,1,2,0,1,5,0,0,5,1,1,4,5,0,3,1,4,5,1,0,1,4,0,5
leerachtig,,,,3,1,2,2,2,5,0,1,0,,,,3,0,2,4,0,4,1,3,5,0,2,0,4,0,5
levend,1,4,2,2,4,3,2,1,2,3,5,5,5,5,5,1,2,3,3,3,3,3,3,3,1,1,3,3,4,5
licht,,,,,,,,,,3,0,5,,,,,,,,,,,,,,,,0,5,0
luchtig,,,,1,2,2,2,2,2,3,0,0,0,0,4,2,0,2,1,0,1,1,4,5,1,1,3,1,0,5
mollig,3,3,4,4,4,4,2,1,4,0,0,3,0,0,3,2,0,3,3,0,4,1,4,4,1,1,3,5,0,5
mooi,2,0,3,2,1,3,4,4,5,0,2,4,2,3,5,0,4,4,4,5,5,3,3,3,3,3,5,0,5,5
mottig,4,1,2,,,,2,2,4,0,0,0,,,,,,,,,,,,,2,0,2,5,0,4
nattig,,,,,,,2,5,2,0,2,4,5,5,5,4,1,3,3,0,4,1,5,4,0,5,2,5,0,5
papperig,,,,2,2,1,4,2,1,0,0,1,3,0,2,2,1,3,5,0,3,1,4,4,0,0,2,4,0,4
piepend,,,,1,2,2,5,2,5,0,4,0,0,5,1,0,4,0,0,5,1,5,1,1,1,0,0,,,
pijnlijk,,,,3,3,3,2,1,2,5,2,3,0,0,3,0,1,4,4,4,4,4,5,4,1,0,0,5,0,0
pulserend,,,,0,0,0,5,4,3,0,1,0,,,,3,1,1,,,,3,3,2,0,0,0,5,5,3
ritselend,,,,,,,3,1,4,0,2,0,0,5,2,3,4,1,0,4,0,5,1,1,1,0,0,0,5,0
rommelend,,,,,,,4,5,4,0,0,3,0,5,4,0,3,3,0,3,4,1,1,5,1,0,0,4,5,0
rotsig,3,0,4,3,2,1,5,4,4,0,0,0,0,0,3,3,0,3,3,0,5,1,5,4,1,1,3,1,0,5
rubberachtig,,,,,,,2,3,2,0,0,1,5,1,1,3,0,2,4,0,4,1,4,4,0,0,0,3,0,5
ruw,,,,3,2,2,3,1,1,2,0,3,5,0,0,4,0,2,4,0,3,1,5,4,1,0,0,5,0,5
saai,,,,0,2,2,5,1,3,0,0,0,1,3,3,0,0,4,0,0,0,1,1,1,0,0,0,4,4,4
schattig,,,,0,2,2,2,4,5,0,2,3,0,0,5,0,0,4,0,0,5,1,1,3,0,0,0,3,4,5
scheef,0,0,4,2,3,3,3,2,4,0,0,5,5,0,5,0,0,3,2,0,5,1,4,5,1,2,3,2,0,5
schel,,,,2,3,3,1,2,1,0,1,0,0,5,0,0,3,0,0,5,0,5,1,1,2,0,0,0,5,0
scherp,4,0,4,3,1,2,3,4,2,5,1,5,5,0,5,4,0,2,4,0,4,4,5,4,1,1,3,5,0,4
schitterend,,,,0,2,1,3,4,5,0,0,5,1,5,5,0,0,4,0,0,5,1,2,5,0,0,0,0,5,5
schoon,0,0,4,2,2,1,1,2,2,5,2,5,5,0,5,4,0,4,4,0,5,1,4,4,5,2,3,4,0,5
schreeuwend,,,,2,4,2,4,1,2,0,1,1,1,5,3,0,3,1,0,5,0,5,1,2,0,2,3,0,5,5
slissend,,,,,,,1,2,1,0,1,0,0,2,0,0,3,1,0,4,0,5,1,1,0,0,1,0,5,0
smerig,,,,2,2,3,4,4,3,2,0,4,5,0,5,3,0,4,3,0,5,1,4,4,0,2,0,3,0,5
somber,,,,2,3,2,4,1,5,0,0,3,0,0,5,0,2,4,0,0,0,1,1,3,1,0,0,4,0,4
sonoor,3,0,4,,,,2,1,2,0,0,0,,,,,,,,,,,,,1,1,3,0,5,0
stampend,,,,2,2,2,2,1,4,0,3,3,,,,0,4,3,4,1,4,5,1,3,1,0,0,3,4,5
stekelig,5,0,3,1,0,1,3,1,5,5,0,2,3,0,5,3,0,3,3,0,3,1,5,3,2,3,2,5,0,3
stil,1,5,1,0,5,2,5,2,3,0,5,0,0,5,0,0,4,1,0,5,0,5,1,1,0,2,0,0,5,3
stoffig,,,,4,2,3,4,2,4,2,0,3,5,0,5,3,0,4,0,0,5,1,3,4,1,0,0,3,0,5
tinkelend,5,0,0,,,,,,,5,0,0,,,,0,3,3,,,,4,1,2,2,2,3,5,0,0
vallend,2,0,5,2,3,4,3,2,1,2,0,3,0,5,5,0,2,4,4,2,5,1,1,5,2,1,0,5,3,5
verkoold,3,4,4,0,0,0,3,1,3,0,0,0,0,0,0,2,0,2,1,1,4,1,3,4,1,1,0,0,0,5
vertakkend,3,4,4,0,1,1,2,3,5,0,0,3,0,3,3,3,0,4,2,0,4,1,1,5,1,0,0,0,0,5
vetachtig,,,,3,2,2,1,2,2,1,1,2,5,0,2,3,0,2,4,0,5,1,4,4,0,0,0,3,0,5
vochtig,,,,1,2,2,2,2,3,2,0,3,5,0,5,4,1,1,2,0,3,1,5,4,3,0,1,5,0,4
volumineus,,,,3,3,2,,,,0,0,2,3,3,0,,,,4,0,4,1,4,4,0,0,0,4,0,5
vuil,,,,1,1,1,5,4,2,2,1,2,5,0,5,3,0,3,2,0,5,1,4,4,3,0,0,3,0,5
zanderig,3,4,4,2,2,1,2,5,2,3,0,0,3,0,3,4,0,3,4,1,4,1,4,4,0,0,0,4,0,5
zeurend,,,,2,2,1,3,1,3,0,2,0,0,5,5,0,2,0,0,5,3,5,1,1,0,2,0,0,5,0
zwaar,,,,2,2,2,1,4,1,0,1,3,5,0,0,3,0,2,3,0,3,1,3,1,0,0,0,5,3,4
zwart,,,,3,4,4,3,5,2,0,0,5,0,0,4,0,0,5,0,0,5,1,1,5,1,0,0,0,0,5
