word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,h8,a8,v8,a9,h9,v9
vinden,5,1,1,0,3,0,1,1,5,4,2,4,5,0,1,1,5,2,0,5,3,1,4,2,2,0,5
onafhankelijkheid,5,4,3,0,0,0,5,1,4,5,3,3,0,0,0,1,5,2,3,3,3,5,0,2,0,0,0
plicht,5,5,5,0,0,0,5,1,1,5,2,2,0,0,0,1,5,3,0,3,0,4,0,0,0,0,0
capaciteit,4,3,5,0,0,0,4,0,2,3,3,3,0,0,0,1,5,3,0,0,4,2,0,0,0,0,0
schoonheid,3,3,5,3,3,5,5,3,5,4,4,5,3,0,5,3,4,5,4,3,5,4,1,5,4,0,5
entree,1,1,5,0,0,0,2,1,5,3,2,5,0,0,0,1,2,2,0,0,5,0,0,0,0,0,5
hinder,4,5,5,0,0,0,5,0,3,4,3,2,0,2,0,1,1,5,0,4,5,1,0,2,0,0,3
dichterbij,5,3,5,0,0,0,5,5,5,5,5,5,0,0,0,1,1,5,3,4,5,0,0,5,0,0,5
spons,5,0,4,3,0,5,3,1,4,5,2,4,5,0,5,4,1,5,5,1,4,5,0,0,3,0,5
invloed,2,4,4,0,0,0,5,2,3,2,3,2,0,0,1,1,4,5,0,0,4,2,1,0,0,0,3
telefoontje,4,5,5,5,5,5,1,5,1,3,5,3,2,3,1,4,5,5,5,5,5,0,5,0,1,5,5
schuld,,,,,,,,,,,,,,,,,,,0,0,4,,,,0,0,0
uur,3,3,4,0,0,5,2,2,2,2,1,5,0,2,1,1,5,5,0,0,4,1,0,2,0,0,3
verleden,5,4,2,0,5,0,5,2,4,4,0,0,0,0,0,1,4,1,1,3,3,0,0,2,0,5,3
stad,2,3,5,3,5,5,3,3,5,4,5,5,0,2,5,4,5,5,0,5,5,1,2,3,0,0,5
stuk,5,5,5,0,0,0,5,5,5,4,2,4,0,0,2,1,3,5,5,0,5,1,0,5,0,0,2
raket,4,5,5,0,0,0,3,5,5,1,5,4,0,1,2,1,1,1,0,5,5,0,2,4,1,5,3
rand,5,0,5,5,0,5,5,2,5,4,2,4,2,0,5,1,1,5,4,0,5,0,0,0,1,0,0
antwoord,0,5,5,0,5,5,2,4,5,4,3,3,0,5,0,1,5,5,0,5,5,0,5,1,1,5,2
stijfheid,5,0,5,0,0,0,5,1,3,5,2,3,2,1,4,1,5,3,5,0,0,5,1,3,1,0,0
verzameling,4,0,5,0,0,0,4,2,4,2,2,2,0,0,2,1,5,3,2,3,5,0,0,5,2,1,5
arrangement,1,1,5,0,3,3,1,1,4,4,5,3,0,0,0,1,2,3,0,0,5,0,1,2,0,0,5
palpatie,,,,0,0,0,,,,5,2,4,,,,1,1,1,,,,5,0,0,,,
exemplaar,4,0,5,5,0,5,3,4,4,5,3,5,0,0,0,1,2,5,5,5,5,0,0,0,2,0,5
links,5,0,4,0,5,5,5,3,5,2,2,4,0,0,2,1,5,5,4,0,5,4,0,0,0,0,5
angst,5,5,5,0,3,3,5,5,5,5,4,4,0,2,4,1,5,4,5,5,5,3,3,4,0,0,3
inkomen,5,5,5,3,0,3,5,1,2,2,2,3,2,0,1,2,5,4,5,0,5,1,0,2,0,0,3
soort,3,3,5,0,0,0,5,2,4,1,2,4,0,0,0,1,5,5,0,4,5,0,0,4,0,0,0
belading,,,,0,0,0,5,3,2,4,3,3,0,0,0,1,1,5,4,0,4,4,0,1,0,0,3
rekening,0,3,4,5,0,5,2,1,4,2,0,3,0,0,3,2,3,5,0,0,5,1,0,2,3,0,3
duik,5,4,5,0,0,0,4,3,3,4,3,3,3,0,1,1,3,1,5,5,5,5,4,1,3,0,5
toestemming,5,5,5,0,5,0,2,3,2,4,3,4,0,4,0,2,4,5,0,4,0,0,1,0,0,3,3
dek,3,3,5,0,0,0,1,2,3,3,2,3,0,0,1,4,2,3,3,0,5,,,,0,0,3
keten,5,4,5,0,0,0,3,3,3,1,3,4,0,2,0,1,2,3,0,4,4,0,0,1,0,0,0
beheer,,,,0,0,0,4,1,4,3,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0
expansie,3,4,5,0,0,0,4,3,4,4,2,4,0,0,1,1,3,5,0,0,5,0,0,0,,,
vorm,5,0,5,0,0,0,5,1,5,5,0,3,3,0,5,1,2,5,5,0,5,5,0,0,0,0,5
bedrag,3,4,5,5,0,0,5,2,4,1,1,5,3,0,5,4,5,5,0,3,5,1,0,5,3,5,5
eis,,,,,,,,,,,,,,,,,,,0,5,3,,,,0,3,0
doel,,,,,,,,,,,,,,,,,,,0,5,5,,,,0,0,2
theorie,0,3,5,0,0,5,2,5,4,3,3,5,0,1,1,4,5,5,0,4,4,0,0,0,0,5,0
hemel,0,0,5,0,0,5,5,4,3,3,0,4,0,0,5,1,5,5,0,0,3,0,0,1,0,3,0
richting,5,0,4,0,0,0,4,3,4,4,2,4,2,0,5,1,5,5,0,2,5,0,0,2,0,3,3
verhulling,,,,0,0,0,3,4,4,2,3,5,,,,1,5,3,0,0,5,,,,0,0,3
dans,5,5,4,3,0,5,5,5,5,4,3,5,5,2,5,2,4,4,3,2,5,5,0,4,0,1,5
leven,5,3,5,5,5,5,5,5,5,5,2,3,3,0,0,3,5,5,5,5,5,5,5,5,0,2,5
zijde,4,0,2,0,0,0,4,2,4,4,1,4,3,0,2,1,1,1,5,0,4,5,0,0,0,0,2
begin,4,4,4,0,5,5,5,1,3,4,1,2,0,0,1,1,3,5,0,0,3,0,0,0,0,0,0
academie,0,4,5,3,5,5,3,5,5,1,1,4,0,0,1,3,5,5,0,0,3,0,0,0,0,1,5
economie,0,4,2,0,5,5,2,5,4,3,0,1,0,0,0,1,5,5,0,0,0,0,0,4,0,5,1
uitwisseling,5,3,5,0,0,0,5,5,5,2,2,3,0,0,0,1,3,5,0,0,4,0,0,0,0,3,3
hoed,4,0,5,3,0,5,4,1,4,5,2,5,5,0,5,2,2,3,3,0,5,1,0,5,5,0,5
lus,3,0,5,0,0,0,1,0,4,4,1,5,1,0,5,1,1,3,5,0,5,1,0,2,5,0,5
glas,5,4,5,5,0,5,2,1,3,4,4,4,5,5,5,5,3,5,4,0,5,2,4,5,5,5,5
mars,5,5,5,3,0,3,1,1,3,0,0,1,0,2,1,1,2,4,5,5,5,1,0,5,5,5,3
onderscheid,,,,0,0,0,5,1,3,4,4,5,0,0,2,1,5,5,3,5,5,0,0,0,0,3,3
mislukking,5,5,5,0,0,0,5,1,4,5,3,3,0,0,0,1,1,5,0,3,5,0,0,0,0,0,0
drama,5,5,5,0,0,0,5,3,4,4,5,5,0,2,2,1,4,5,0,4,4,0,0,5,0,5,5
feit,5,5,5,0,5,0,4,3,3,4,2,2,0,0,0,1,5,5,0,5,5,0,5,0,0,5,1
zaken,3,5,5,5,5,5,3,4,4,1,1,2,2,0,2,1,5,5,0,0,5,0,0,0,0,1,3
heft,,,,0,0,0,5,2,3,4,1,1,0,0,2,1,1,3,5,0,5,,,,,,
trekker,5,5,5,0,0,0,1,2,2,5,4,5,0,0,3,1,1,3,5,0,5,0,5,4,3,1,5
aanvraag,0,4,5,0,0,0,2,1,2,4,4,1,0,2,0,1,1,5,0,3,5,0,0,1,0,3,3
uitrusting,5,2,5,3,0,3,2,1,2,5,3,5,0,0,3,3,1,5,4,0,5,0,0,4,0,0,3
band,5,0,5,3,3,5,5,3,4,5,2,5,2,0,5,1,2,5,0,0,0,1,0,5,0,3,3
diameter,2,0,5,0,0,0,0,0,3,2,0,3,0,0,5,1,1,5,3,0,5,1,0,1,0,1,3
schuld,5,5,5,0,0,0,5,3,2,5,2,2,0,0,2,1,5,3,0,0,0,0,0,0,0,3,5
gezondheid,5,2,3,0,5,3,5,2,4,5,2,3,0,0,2,3,5,3,5,3,4,0,0,0,0,1,5
gat,5,0,4,4,5,5,4,1,5,5,1,5,0,0,5,1,5,5,5,4,5,0,0,5,0,0,5
grens,4,1,5,5,5,5,5,4,3,4,2,3,0,0,2,1,1,5,0,0,5,1,0,5,0,3,4
administratie,0,0,5,0,5,0,1,2,4,2,0,4,3,0,5,2,5,5,0,0,5,0,0,0,0,5,1
consequentie,5,5,5,0,0,0,5,2,5,5,2,3,0,0,2,1,5,5,0,3,5,1,0,4,0,5,1
extreem,5,5,5,0,0,0,4,4,4,4,4,4,0,0,1,1,1,5,0,2,4,5,5,5,0,1,1
vijl,3,4,5,5,5,5,4,3,4,5,2,4,5,0,5,1,1,1,5,3,5,1,1,2,5,5,5
methode,0,3,5,0,0,0,2,1,3,2,2,2,0,0,1,2,5,5,0,4,4,0,0,0,0,3,1
blik,4,0,5,5,5,5,2,2,3,4,0,4,0,0,5,1,1,5,4,0,5,1,0,1,0,0,5
kosten,5,5,5,0,5,5,3,1,3,2,1,3,0,0,5,3,5,5,0,0,5,1,0,2,2,1,5
komedie,5,5,5,0,5,5,3,5,5,4,4,4,0,5,5,1,1,2,0,5,5,4,2,3,0,5,3
incident,5,5,5,0,0,0,5,5,5,3,4,3,0,0,2,1,3,5,0,3,4,0,1,5,0,3,5
gras,4,0,5,0,0,5,5,4,5,5,0,5,5,1,5,2,1,5,4,2,5,5,0,5,1,0,5
concept,,,,0,0,0,1,1,4,3,1,3,0,0,2,3,4,5,0,4,4,0,0,0,0,3,3
bank,5,0,5,5,0,5,5,1,5,4,1,4,0,0,5,5,2,5,5,0,5,5,0,5,3,3,5
meester,0,5,5,0,0,0,1,5,4,4,3,4,0,1,5,1,1,4,0,5,5,0,2,1,0,5,5
voordeel,5,5,5,0,0,0,5,2,4,4,1,2,2,0,3,1,5,5,0,5,5,0,0,0,0,5,5
balans,5,5,5,0,5,5,5,1,2,4,2,3,0,0,2,1,4,5,5,0,5,2,0,0,0,3,5
opwinding,5,5,5,0,0,0,5,4,4,5,4,3,0,2,2,4,5,5,3,5,5,4,0,0,0,2,3
duim,5,0,5,5,0,5,4,4,4,4,0,4,5,0,5,4,1,5,5,0,5,1,0,1,5,0,5
baby,5,5,5,0,0,0,5,5,5,3,4,5,5,5,5,2,4,4,4,5,4,5,5,5,5,5,5
afdeling,0,3,5,0,0,0,2,3,3,0,2,4,0,0,2,1,3,4,0,0,4,0,0,0,0,1,5
fabriek,0,3,5,0,0,0,1,4,4,1,4,4,0,0,5,1,1,3,3,5,5,0,1,2,1,5,5
geschil,5,5,5,0,0,0,1,3,2,3,4,4,0,0,5,1,1,3,4,4,4,0,0,0,0,3,3
minuut,5,0,5,0,5,5,1,1,1,0,3,4,5,0,5,1,5,5,0,0,4,0,1,1,0,5,5
formatie,4,1,5,0,0,0,1,3,2,1,1,3,0,0,2,1,4,3,0,0,4,,,,0,0,2
gips,5,0,5,0,0,0,2,3,3,4,0,3,5,0,5,1,1,2,5,0,5,2,0,1,3,3,5
interieur,0,0,5,5,0,5,4,1,5,2,1,5,3,0,5,4,1,5,5,0,5,5,0,5,5,0,5
maatje,5,5,5,5,5,5,4,1,5,5,3,4,3,0,2,3,5,5,3,4,4,5,0,0,2,3,5
zenuw,0,0,0,0,0,0,5,3,4,5,0,2,0,0,2,1,1,1,5,0,3,1,0,0,0,0,5
kwestie,,,,0,0,0,3,3,3,1,1,1,0,0,0,1,5,5,0,3,3,0,0,0,0,0,0
beer,0,5,5,0,0,0,2,5,5,3,4,5,2,2,5,1,1,1,3,5,5,1,0,5,0,5,5
emotie,5,3,4,5,5,5,5,3,3,5,5,4,0,3,5,1,5,5,0,5,5,1,0,2,3,1,5
toevoeging,5,4,5,0,0,0,2,3,3,0,2,3,0,0,5,1,3,5,0,0,5,0,0,0,0,0,0
mandaat,,,,0,0,0,4,3,4,0,1,2,0,0,0,1,1,1,0,0,0,,,,,,
vondst,0,5,5,0,0,0,4,4,4,3,3,4,3,0,5,1,1,5,4,0,3,2,0,0,1,0,0
snee,5,0,5,5,0,5,5,4,4,5,1,4,5,0,5,1,1,3,5,0,4,2,0,5,1,0,5
geld,,,,,,,,,,,,,,,,,,,5,3,5,,,,5,5,5
bestand,0,0,5,0,0,0,3,2,3,0,0,3,2,0,5,4,5,5,0,0,5,0,0,0,0,1,5
machine,2,3,5,0,0,0,2,5,4,3,2,4,0,5,5,2,1,5,3,4,4,0,5,2,5,5,5
concurrentie,5,5,5,0,0,0,5,4,3,2,2,3,3,3,3,1,5,5,0,0,5,0,0,0,0,2,4
centrum,0,0,5,0,5,5,2,2,3,0,4,4,0,0,2,1,3,5,0,0,5,0,0,5,0,4,5
socialist,,,,0,0,0,5,4,3,0,4,3,0,0,0,1,4,5,0,0,5,4,0,1,0,1,1
stoel,5,4,5,5,0,5,4,1,4,4,2,4,5,0,5,5,1,5,5,3,5,4,0,2,5,2,5
pels,4,0,5,0,0,0,3,2,3,4,1,4,0,0,0,1,1,1,5,0,5,0,0,0,,,
terug,,,,0,0,0,3,3,3,0,0,3,0,0,0,1,5,5,0,0,0,1,0,1,0,0,2
telefoon,5,5,5,5,5,5,1,4,2,4,5,3,5,5,5,5,5,5,4,5,5,1,5,2,5,5,5
democratie,0,0,0,0,5,5,5,5,4,0,0,2,0,3,3,1,4,5,0,0,0,4,0,2,0,5,2
flauwvallen,,2,5,0,0,0,5,3,3,5,2,4,0,0,5,1,1,1,3,2,5,1,0,2,0,5,5
financiën,0,4,4,0,0,0,4,4,4,0,1,3,0,0,5,3,5,5,0,0,3,1,0,3,0,0,0
