word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,h8,a8,v8,a9,h9,v9
onderwijs,4,2,5,0,5,5,1,5,4,2,4,5,0,2,5,3,5,5,0,5,5,0,2,5,0,4,5
cijfer,0,5,5,0,5,5,5,2,2,1,4,4,0,2,0,1,3,5,0,5,5,0,0,2,0,2,5
vriend,4,5,5,5,5,5,5,5,5,3,3,4,5,5,5,3,5,5,2,5,5,5,4,2,5,5,5
ontwikkeling,1,5,4,5,5,5,4,2,4,0,3,4,3,2,0,1,3,5,2,2,5,0,0,4,0,0,5
advies,2,5,3,5,5,5,2,5,1,1,5,2,0,3,0,1,3,5,1,5,2,0,5,0,0,5,0
gebaar,2,0,5,3,0,5,3,0,5,1,3,5,0,0,5,2,1,5,0,0,5,1,2,0,0,0,5
kern,5,4,3,0,0,0,3,3,3,4,0,4,0,0,0,1,3,1,4,0,4,0,0,0,1,0,1
carrière,3,4,4,0,5,3,5,1,3,1,0,4,0,2,3,3,4,4,0,0,0,0,1,2,0,0,3
juffrouw,2,5,5,0,0,0,1,5,4,4,4,5,0,1,0,2,3,5,2,5,5,1,1,1,0,5,5
beker,5,0,5,5,0,5,4,0,4,5,1,5,5,0,5,4,1,5,5,0,5,5,0,5,5,0,5
oog,1,0,5,5,0,5,1,0,5,0,0,5,2,0,5,3,1,5,0,0,5,2,0,2,5,0,5
overeenkomst,4,5,4,0,5,3,4,4,1,3,4,5,0,0,2,1,4,5,2,5,3,2,0,0,3,3,3
dokter,5,4,4,0,0,0,5,5,5,4,5,5,0,1,2,1,1,3,4,4,4,0,1,2,3,3,3
functie,3,3,3,0,5,3,5,3,3,4,1,3,0,0,0,3,3,5,0,0,5,0,0,0,0,1,1
manipulatie,5,5,5,0,3,0,4,3,3,5,4,4,0,0,0,1,4,5,4,0,5,1,0,1,0,3,0
indruk,2,4,5,0,3,3,5,3,5,5,4,4,0,3,0,3,4,5,0,5,5,5,0,0,0,3,5
dromen,2,4,4,0,0,5,5,4,4,3,3,5,0,0,2,1,2,1,0,5,5,5,0,4,0,1,2
knuffel,5,2,2,5,0,0,5,2,2,5,1,2,5,0,5,2,3,5,5,0,3,5,0,4,5,0,4
schatting,1,4,4,0,0,0,1,1,3,5,3,3,0,0,0,3,4,5,0,0,3,0,1,2,5,2,1
enthousiasme,4,5,5,3,5,5,5,5,5,5,5,4,5,3,1,1,4,5,4,5,5,5,4,2,0,5,5
toename,1,5,5,0,5,5,5,0,5,3,4,5,0,0,0,1,4,5,0,4,4,0,0,3,0,0,3
junior,3,4,5,0,0,0,3,3,3,2,5,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
