word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,missing
overhemd,5,3,4,2,3,4,5,0,5,3,0,4,5,0,5,1,0,2,4,0,4,0
object,5,3,4,2,3,3,5,4,5,4,3,4,0,0,5,5,0,5,5,0,5,0
dame,4,3,4,5,5,5,5,1,5,1,3,4,0,0,5,1,3,5,4,4,4,0
schok,5,2,2,3,3,2,0,2,3,5,3,4,0,5,0,2,0,3,4,2,1,0
maat,2,1,2,3,4,3,0,4,4,2,0,4,0,0,0,0,0,0,0,0,3,0
worp,4,3,4,2,3,5,0,2,5,3,3,4,0,0,0,3,0,2,3,1,4,0
gerucht,3,5,3,4,3,1,0,5,2,1,5,4,0,5,0,0,4,0,0,5,2,0
koninkrijk,2,4,4,3,4,3,0,0,2,0,3,4,0,0,0,0,0,0,0,0,3,0
wantrouwen,4,4,3,4,3,3,0,4,3,3,3,4,0,5,0,0,0,2,0,1,2,0
werk,4,2,3,5,3,2,0,3,4,3,4,4,0,0,5,4,0,4,0,1,2,0
tegenstand,1,4,4,2,3,4,0,3,4,2,3,4,0,5,0,2,3,2,0,1,2,0
bad,5,5,5,3,4,3,5,2,5,4,3,4,5,0,5,1,0,1,4,2,4,0
belangrijkste,5,4,4,1,1,2,0,4,2,1,3,4,0,5,0,1,2,3,0,0,1,0
voorziening,4,4,4,3,5,1,0,0,2,0,3,4,0,0,0,0,3,0,0,0,2,0
leiding,5,2,2,3,4,3,5,0,4,0,3,4,0,5,0,0,5,2,2,3,3,0
fortuin,2,2,3,3,2,1,0,0,5,3,4,4,0,0,0,0,0,1,3,0,3,0
vlees,5,4,5,3,2,4,5,0,5,3,2,4,5,0,5,2,0,3,4,1,4,0
wrok,5,2,4,3,3,2,0,3,3,4,1,4,0,5,0,1,0,1,0,3,1,0
hek,5,1,5,4,2,3,5,0,5,1,1,4,5,0,5,1,0,1,5,2,4,0
afstand,2,2,5,3,2,3,0,3,4,2,3,4,0,0,5,0,0,5,1,0,4,0
aantekening,4,3,4,5,4,5,5,1,5,1,1,4,0,0,0,3,2,2,2,0,3,0
eis,2,5,2,5,3,3,0,4,3,1,4,4,0,0,0,0,0,1,0,4,1,0
weerstand,4,3,3,3,3,3,0,3,4,1,3,4,0,0,0,3,0,5,4,2,3,0
zus,5,5,5,2,5,2,5,4,5,1,3,4,0,0,5,3,4,5,2,4,5,0
vrijheid,5,3,4,2,3,3,0,4,3,3,3,4,0,0,0,0,0,5,3,0,4,0
baan,4,3,3,3,2,2,0,2,4,3,3,4,0,0,5,0,0,3,2,4,3,0
rots,5,2,4,3,2,2,5,0,5,3,1,4,5,0,5,0,0,0,5,1,5,0
