Document,announcement,poet,economy,requirement,recognition,congratulation,philosophy,rumour,recall,knowledge,comedy,libel,lead,music,myth,tendency,deal,win,poetry,council,second,siren,vote,phone,permission,meeting,statement,provision,question,friend,spite,hoarse,lukewarm,loud,silent,shrill,husky,mellow,thudding,crashing,echoing,resounding,muffled,howling,screaming,cooing,crunching,laughing,muttering,squeaking,murmuring,hissing,whining,buzzing,barking,snorting,snarling,growling,audible,warbling,banging,popping,creaking,scratchy,groaning,screeching,meowing,rhythmic,gooey,purring,thumping,beeping,hushed,lilting,moaning,circular,thunderous,gurgling,whimpering,melodious,mumbling,jingling,rustling,tinkling,soundless,giggling,crackling,whispering,noisy,blaring,shrieking,stormy,deafening,clamorous
comedy,0.12,0.34,0,-0.03,0.24,0.03,0.19,0.05,0.03,0.08,1,0.01,0.08,0.28,0.3,0.12,0.13,0.08,0.36,0,0.09,-0.09,-0.02,-0.02,0.06,0.04,0.05,0.06,0.06,0.13,0.13,0.08,-0.04,-0.03,0.12,-0.01,0.09,0.24,-0.02,0,0.08,0.12,-0.02,0.02,0.05,0.01,0.02,0.09,0.01,-0.03,0.02,-0.07,0.07,-0.07,-0.01,0.01,0.05,0.04,0.05,0.04,0.03,0.1,-0.03,-0.01,0.12,0.09,0.06,0.15,0.03,0.07,-0.03,0,0.03,0.2,0.08,0.01,0.09,-0.04,-0.02,0.21,0.11,-0.08,0.06,0.06,0.17,0.02,0.02,0.02,0.01,-0.01,0.06,0.02,-0.05,0.03
libel,0.17,-0.03,-0.01,0.17,0.09,-0.02,0.02,0.09,0.05,0.11,0.01,1,0.07,0,0.06,0.04,0.12,0.03,-0.02,0,0.03,0.01,-0.03,0,0.18,0.14,0.13,0.19,0.08,0.1,0.15,-0.01,0.07,0.02,0.07,0.06,-0.01,0.01,0,-0.01,0,0.02,-0.01,0.01,0.05,-0.02,0,0.02,0.07,-0.04,0.05,0.04,0,0,0.02,0.04,0.04,-0.04,0.07,0.04,0.01,0.03,0.06,0.01,0.06,0.09,0.06,-0.02,-0.06,0.12,0,0.01,0.01,-0.02,0.03,-0.04,-0.07,0.02,0.01,0,0.04,0,0,0.03,-0.02,-0.02,0.1,0,0.07,-0.03,0.07,0,0.02,0.06
lead,0.21,0.03,0.15,0.21,0.21,0.01,0.11,0.11,0.26,0.19,0.08,0.07,1,0.02,0.2,0.33,0.24,0.29,0.03,0.16,0.23,0.01,0.11,0.06,0.17,0.25,0.11,0.07,0.21,0.13,0.31,0.14,0.04,0.17,0.2,0.11,0.17,0.04,0.11,0.07,0.16,0.07,0.08,0.09,0.14,-0.01,0.03,0.05,0.1,0.04,0.04,0.09,0.14,0.07,0.12,0.1,0.13,0.07,0.1,-0.06,0.08,0.12,0.12,0.09,0.02,0.11,0,0.05,0.11,0.06,0.18,0.05,0.18,0,0.04,0.07,0.11,-0.04,0.09,0.03,0.13,0.01,0.07,0.07,0.13,0.03,0.03,0.07,0.21,0.11,0.08,0.07,0.02,-0.02
music,0.15,0.23,0.02,-0.03,0.15,-0.05,0.05,0,0.06,0.04,0.28,0,0.02,1,0.08,0.03,0.09,0.05,0.28,-0.02,0.03,0.04,0.02,0.05,0.09,0.03,0.02,0.04,0.04,0.08,0.07,0.08,0.02,0.24,0.21,0.17,0.13,0.21,0.05,-0.03,0.14,0.12,0.08,0.04,0.07,0.06,0.18,0.14,0.09,0.1,0.27,0.05,0.12,0.07,0.1,0.12,0.02,0.05,0.33,0.05,0.22,0.07,0.09,-0.01,0,0.19,0,0.72,0.03,0.07,0.08,-0.05,0.22,0.23,0.13,0.06,-0.04,0.06,0.02,0.18,0.06,0.13,0.22,0.33,0,0.04,0.07,0.15,0.14,0.37,0.28,0.08,0.09,-0.03
myth,0.06,0.26,0.04,0.15,0.24,0.08,0.38,0.03,0.08,0.15,0.3,0.06,0.2,0.08,1,0.32,0.2,0.12,0.28,0.03,0.09,-0.06,0.02,0.01,0.09,0.03,0.07,0.2,0.21,0.05,0.2,0.06,0.05,0.02,0.11,0.01,0.08,0.09,-0.01,0.08,0.02,0.05,0.01,0.05,0.03,0.02,0.04,0.03,-0.02,0.06,0,0.08,0.07,0.04,0,0.05,0.04,0.01,0.02,-0.01,0.07,0.15,-0.01,0.1,0.05,0.02,0.01,0.07,-0.01,0.01,0.01,-0.07,0.08,0.11,-0.01,0.02,0.03,0.02,-0.02,0.09,0.05,-0.01,0.03,0.01,0.13,-0.05,0.09,0.02,0.01,0.01,0.08,0.11,0.03,0
tendency,0.08,0.09,0.09,0.22,0.28,-0.05,0.27,-0.06,0.31,0.21,0.12,0.04,0.33,0.03,0.32,1,0.25,0.06,0.09,0.06,0.24,0.05,0.05,0.02,0.07,0.09,0.15,0.09,0.3,0.03,0.28,0.02,0.06,0.06,0.07,0.03,0.04,0.1,-0.03,0.03,0.04,0.13,0.03,0.02,0.06,0.13,0,0,0.05,0.07,0.02,0.03,0.07,0,0.02,0.03,0.02,0.04,0.16,-0.02,0.03,0.06,-0.03,0.11,0.01,0.01,0,0.1,0.07,0,0.03,-0.03,0.04,0.02,0.05,0.22,0.06,0.12,0.02,0.08,0.08,-0.02,0.04,-0.01,0.02,-0.01,0.06,0.04,0.07,0.02,0.04,0.04,-0.01,0.03
deal,0.23,0.07,0.3,0.16,0.37,0.01,0.21,0.13,0.29,0.35,0.13,0.12,0.24,0.09,0.2,0.25,1,0.22,0.08,0.21,0.12,0.07,0.11,0.12,0.21,0.25,0.09,0.22,0.21,0.2,0.33,0.03,0.1,0.09,0.16,0.02,0.03,0.08,0,0.04,0.02,0.1,0.08,0.03,0.03,0.04,0.05,0.13,0.09,-0.01,0.03,0.02,0.05,0.09,0.01,0.07,0.02,0.04,0.1,-0.01,0.01,0.01,0.01,0.12,0.06,0.03,-0.02,0.06,0.05,0.05,0.05,0.02,0.04,0.08,0.05,0.08,-0.01,0.04,-0.04,0.04,0.08,0.02,0.12,0.14,0.06,0.13,0.07,0.1,0.06,0.04,0.04,0.09,0.11,0
win,0.29,0.07,0.04,0.05,0.2,0.05,0.02,0.11,0.14,0.09,0.08,0.03,0.29,0.05,0.12,0.06,0.22,1,0.06,0.15,0.24,-0.02,0.35,0.04,0.13,0.23,0.03,0.06,0.11,0.19,0.21,0.13,0.06,0.1,0.14,0.08,0.15,-0.06,0.05,0.11,0.05,0.12,0.01,0.09,0.17,-0.05,0.02,0.21,0.08,-0.04,0.06,0.04,0.1,0.06,0.03,0.08,0.09,0,-0.02,0.01,0.13,0.07,0.09,0.06,0.04,0.11,0.01,0.04,0.04,0.02,0.14,-0.01,0.21,0.02,0.05,-0.02,0.06,-0.02,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0.06,0.02,0.13,0.14,0.07,0.04,0.1,-0.01,0.01
poetry,0.01,0.98,0.01,0,0.06,0.05,0.23,0.01,0.07,0.06,0.36,-0.02,0.03,0.28,0.28,0.09,0.08,0.06,1,0.03,0.02,0.05,0,0.01,0,-0.01,0.06,0.02,0.03,0.07,0.05,0.01,0.09,0.06,0.07,0.02,0.03,0.07,0.06,-0.01,0.01,0.02,0.03,0.02,0,0.06,0.25,0.03,-0.02,0.02,0.21,0,0.03,0.02,-0.01,-0.01,0.01,-0.01,0.08,-0.02,0.03,0,0,0.01,0.02,0.06,-0.01,0.37,0.02,0.05,-0.01,-0.02,0.07,0.58,0.01,-0.01,0.03,0.03,-0.01,0.46,-0.04,0.01,0.07,0.05,0.03,0,0.03,0.03,0.02,0.02,0.03,0.08,-0.03,-0.04
council,0.17,0.04,0.1,0.17,0.14,-0.04,0.04,0.1,0.07,0.05,0,0,0.16,-0.02,0.03,0.06,0.21,0.15,0.03,1,0.06,0.07,0.3,0.06,0.21,0.46,0.08,0.13,0.06,0.02,0.14,0.03,0.03,0.04,0.13,0.03,0.02,0.06,-0.01,0.05,0.07,0.09,0.02,0.02,0.07,0.01,0,0.02,0.04,0.01,0.07,0.04,0.04,0.08,0.04,0.02,0.05,-0.01,-0.03,0.04,0.02,0,0.03,0.04,0.05,0,0.06,0.01,-0.02,0.04,-0.01,-0.01,0.09,0.02,0.09,0.03,0.05,0.06,0,0.05,0,-0.05,0.05,0.08,0.03,0.03,0.05,0.05,0.08,0.07,0.13,0.01,0.04,-0.01
second,0.14,0.04,0.12,0.2,0.22,0.08,0.1,0.04,0.23,0.13,0.09,0.03,0.23,0.03,0.09,0.24,0.12,0.24,0.02,0.06,1,0.12,0.07,0.1,0.11,0.14,0.08,0.09,0.22,0.13,0.19,0.13,0.07,0.22,0.15,0.13,0.13,0.07,0.13,0.13,0.12,0.11,0.13,0.09,0.16,0.07,0.04,0.12,0.15,0.11,0.11,0.11,0.05,0.05,0.06,0.06,0.1,0.03,0.19,0.11,0.17,0.13,0.15,0.01,0.07,0.16,0.08,0.09,0.09,0.07,0.09,-0.02,0.21,0.03,0.11,0.19,0.06,0.07,0.07,0,0.06,0.04,0.1,0.05,0.09,0.14,0.03,0.1,0.2,0.06,0.13,0.08,0.1,0.02
siren,0.14,0.05,0.04,0.02,0.03,0.08,-0.03,0.1,0.09,0.06,-0.09,0.01,0.01,0.04,-0.06,0.05,0.07,-0.02,0.05,0.07,0.12,1,0.02,0.23,0.11,0.13,0.02,-0.02,0.05,0.15,0.05,0.13,0.11,0.36,0.23,0.24,0.13,-0.07,0.12,0.2,0.1,0.15,0.22,0.13,0.31,0.15,0.29,0.19,0.12,0.18,0.19,0.17,0.1,0.29,0.24,0.09,0.21,0.18,0.11,0.17,0.21,0.16,0.12,0.03,0.12,0.27,0.14,0,-0.08,0.18,0.18,0.03,0.25,0.03,0.11,-0.01,0.17,0.15,0.07,0.16,0.12,0.17,0.15,0.13,0.07,0.17,0.22,0.27,0.36,0.17,0.24,0.13,0.21,-0.03
vote,0.21,0.01,0.06,0.18,0.13,0,0.02,0.05,0.15,0.01,-0.02,-0.03,0.11,0.02,0.02,0.05,0.11,0.35,0,0.3,0.07,0.02,1,0.02,0.09,0.3,0.01,0.24,0.06,-0.01,0.13,0.09,0.03,0.01,0.1,0.01,0.04,0.01,-0.04,0,0.06,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,-0.01,0.01,-0.01,0.03,0.03,0,-0.01,0.01,-0.02,-0.01,0.02,0.02,0,0.01,0,0.02,-0.03,-0.03,0.03,-0.03,0,-0.01,0.02,0.05,0,0.03,0.01,-0.01,0.02,-0.01,0.01,-0.01,-0.03,0,0.03,-0.02,0,-0.01,0.03,0.03,0.02,0.01,0.03,0.01,-0.03
phone,0.19,0,0.02,-0.01,0.03,0.07,0,0.02,0.08,0.04,-0.02,0,0.06,0.05,0.01,0.02,0.12,0.04,0.01,0.06,0.1,0.23,0.02,1,0.11,0.16,0.04,0.04,0.14,0.24,0.03,0.19,0.19,0.32,0.18,0.24,0.15,0.03,0.15,0.1,0.08,0.07,0.32,0.09,0.22,-0.03,0.03,0.24,0.19,0.06,0.12,0.12,0.05,0.09,0.16,0.02,0.08,0.07,0.08,0.15,0.23,0.18,0.1,-0.02,0.2,0.09,0.11,-0.03,0.02,0.03,0.24,-0.04,0.16,0,0.13,0,0.11,0.04,0.16,0.04,0.22,0.15,0.05,0.14,0.05,0.12,0.19,0.19,0.21,0.12,0.13,0.05,0.23,0.07
permission,0.22,0.01,0.07,0.23,0.17,0.09,0.02,0.12,0.06,0.02,0.06,0.18,0.17,0.09,0.09,0.07,0.21,0.13,0,0.21,0.11,0.11,0.09,0.11,1,0.33,0.13,0.19,0.16,0.18,0.24,0.07,0,0.07,0.16,0.05,0.02,0.1,0,0.04,0.07,0.11,0.06,0.09,0.13,0,-0.04,0.12,0.14,0,0.13,0.02,0.11,0.1,0.06,0.01,0.05,0.05,0.04,0.02,0.1,0.03,0.1,0.1,0.07,0.01,0.04,0.01,0.05,0.05,0.03,-0.01,0.04,0.05,0.12,-0.03,-0.03,0.1,0.02,-0.1,0.08,0.12,0.03,0.05,0,0.07,0.01,0.08,0.11,0.03,0.06,0.13,0.04,-0.02
meeting,0.39,0,0.06,0.16,0.28,0.04,0.08,0.15,0.18,0.15,0.04,0.14,0.25,0.03,0.03,0.09,0.25,0.23,-0.01,0.46,0.14,0.13,0.3,0.16,0.33,1,0.12,0.13,0.16,0.25,0.26,0.16,0,0.19,0.28,0.11,0.12,0.08,-0.01,0.05,0.09,0.18,0.14,0.01,0.16,0.03,0.06,0.2,0.17,0.09,0.14,0.06,0.03,0.12,0.08,0,0.04,0.06,0.18,0.08,0.05,0.07,0.14,0.01,0.08,0.04,0.06,0.02,0.04,0.11,0.11,-0.04,0.16,0.04,0.11,0.1,0.07,0.1,-0.03,0.02,0.08,0.03,0.12,0.06,0.08,0.18,0.08,0.18,0.21,0.15,0.14,0.12,0.13,0
statement,0.12,0.08,0.02,0.13,0.05,-0.07,0.15,0.01,0.11,0.14,0.05,0.13,0.11,0.02,0.07,0.15,0.09,0.03,0.06,0.08,0.08,0.02,0.01,0.04,0.13,0.12,1,0.11,0.32,0.01,0.07,-0.01,0.01,0.03,0.06,0,0.07,0,0.03,-0.01,0.03,0.07,0,0.01,-0.02,0.02,0.03,0.02,-0.04,0.03,-0.01,0.03,0.06,-0.04,0.02,0.01,0.03,-0.02,0.07,-0.01,0.06,0.02,-0.03,0.09,0.04,0.02,0.01,0.05,0,0.02,0.02,-0.01,-0.04,0.12,-0.03,0.07,0,-0.01,0.02,0.02,-0.01,-0.04,0.01,-0.04,0.02,0,0.03,0,0.06,-0.03,-0.01,0.04,-0.01,0.01
provision,0.16,0.01,0.11,0.47,0.29,-0.03,0.19,0.01,0.15,0.11,0.06,0.19,0.07,0.04,0.2,0.09,0.22,0.06,0.02,0.13,0.09,-0.02,0.24,0.04,0.19,0.13,0.11,1,0.15,0.03,0.19,0.03,0.04,0.03,0.08,0.03,0.05,0.06,0.05,0.04,0.04,0.02,0.03,0.03,0.04,0.04,0.02,0.06,0.02,0.04,0,0.02,0.04,0.02,0.01,0,0.05,0.04,0.02,-0.01,0.05,0.06,0.04,0.02,0.06,0.11,0.08,0.02,-0.01,-0.03,0.08,0.03,0,0,0,0.04,0.04,0.01,0.01,0.05,0.01,0.06,0.04,0.05,-0.01,0.02,-0.01,0.02,0.04,0.03,0.07,0.03,0.02,0.01
question,0.2,0.02,0.08,0.12,0.22,-0.05,0.24,0,0.2,0.26,0.06,0.08,0.21,0.04,0.21,0.3,0.21,0.11,0.03,0.06,0.22,0.05,0.06,0.14,0.16,0.16,0.32,0.15,1,0.08,0.18,0.08,0.07,0.07,0.17,0.06,0.07,0.02,0.04,0.05,0.04,0.09,0.09,0.03,0.05,0.04,0.01,0.11,0.05,0.06,0.04,0.07,0.05,0.04,0.03,0.05,0.04,0.01,0.16,0.03,0.07,0.12,0.09,-0.01,0.08,0.01,0.08,0.03,0.04,0.03,0.05,-0.02,0.08,-0.01,0.04,0.06,0.03,0.03,0.1,0.06,0.02,0.03,0.02,0.02,0.05,0.06,0.05,0.09,0.12,-0.01,0.05,0.04,0.02,0.02
friend,0.25,0.06,-0.01,-0.01,0.13,0.11,0.03,0.32,0.08,0.07,0.13,0.1,0.13,0.08,0.05,0.03,0.2,0.19,0.07,0.02,0.13,0.15,-0.01,0.24,0.18,0.25,0.01,0.03,0.08,1,0.2,0.1,0.12,0.23,0.25,0.19,0.12,0.11,0.05,0.05,0.15,0.13,0.07,0.14,0.18,0.05,0.05,0.39,0.19,0.05,0.16,0.08,0.1,0.15,0.21,0.08,0.16,0.17,0.1,0.11,0.19,0.09,0.12,0.03,0.16,0.15,0.26,0.03,0.02,0.18,0.13,0,0.09,0.07,0.1,0.06,0.11,0.03,-0.02,-0.06,0.11,0.08,0.15,0.05,0.1,0.25,0.06,0.23,0.27,0.15,0.04,0.12,0.05,0.09
spite,0.22,0.05,0.13,0.18,0.29,-0.02,0.18,0.18,0.16,0.23,0.13,0.15,0.31,0.07,0.2,0.28,0.33,0.21,0.05,0.14,0.19,0.05,0.13,0.03,0.24,0.26,0.07,0.19,0.18,0.2,1,0.26,0.14,0.2,0.36,0.2,0.17,0.24,0.15,0.23,0.22,0.23,0.24,0.22,0.27,0.15,0.1,0.18,0.28,0.08,0.2,0.22,0.18,0.17,0.18,0.34,0.21,0.24,0.19,0.02,0.13,0.22,0.17,0.09,0.25,0.1,0.07,0.09,0.09,0.02,0.25,0.04,0.21,0.09,0.2,0.08,0.18,0.15,0.15,0.18,0.2,0.1,0.26,0.12,0.2,0.2,0.2,0.23,0.22,0.12,0.15,0.16,0.11,0.09
hoarse,0.17,0.01,-0.02,0.04,0.15,0.08,0.02,0.08,0.04,0.05,0.08,-0.01,0.14,0.08,0.06,0.02,0.03,0.13,0.01,0.03,0.13,0.13,0.09,0.19,0.07,0.16,-0.01,0.03,0.08,0.1,0.26,1,0.06,0.45,0.55,0.56,0.33,0.17,0.45,0.43,0.33,0.2,0.63,0.36,0.49,0.14,0.36,0.35,0.39,0.14,0.44,0.46,0.42,0.33,0.29,0.39,0.29,0.38,0.25,0.23,0.38,0.29,0.39,0.12,0.36,0.39,0.22,0.05,0.02,0.13,0.5,-0.02,0.42,0.07,0.37,0.03,0.36,0.14,0.39,0.21,0.4,0.28,0.38,0.32,0.25,0.31,0.3,0.42,0.24,0.23,0.35,0.16,0.22,0.14
lukewarm,0.06,0.09,0.03,0.07,0.08,0.01,0.02,0,0.14,0.06,-0.04,0.07,0.04,0.02,0.05,0.06,0.1,0.06,0.09,0.03,0.07,0.11,0.03,0.19,0,0,0.01,0.04,0.07,0.12,0.14,0.06,1,0.09,0.15,0.07,0.15,0.03,0.01,0.09,0.05,0.06,0.18,0.06,0.02,-0.05,0.18,0.08,0.04,-0.01,0.15,0.13,0.09,-0.02,-0.04,0.05,0.05,0.01,0.05,0.06,0.05,0.08,0.09,0.22,0.03,0.02,0.08,0.04,0.06,0.05,0.14,-0.07,0.19,0.12,0.02,0.04,0.04,0.04,0.05,0.1,0.06,0.09,0.07,0.14,0.04,0.19,0.07,0.09,0.13,0.01,-0.02,0.04,0.17,-0.04
loud,0.21,0.05,0,0.04,0.12,0.09,0.01,0.06,0.07,0.03,-0.03,0.02,0.17,0.24,0.02,0.06,0.09,0.1,0.06,0.04,0.22,0.36,0.01,0.32,0.07,0.19,0.03,0.03,0.07,0.23,0.2,0.45,0.09,1,0.49,0.65,0.37,0.15,0.47,0.38,0.38,0.23,0.57,0.36,0.51,0.32,0.45,0.55,0.4,0.4,0.33,0.41,0.37,0.44,0.35,0.28,0.28,0.45,0.41,0.27,0.48,0.34,0.4,0.12,0.3,0.49,0.1,0.16,0.06,0.26,0.51,-0.01,0.45,0.07,0.38,0.03,0.34,0.26,0.26,0.34,0.3,0.32,0.47,0.39,0.16,0.39,0.32,0.52,0.64,0.38,0.41,0.14,0.26,0.13
silent,0.31,0.09,0.01,0.06,0.22,-0.03,0.05,0.2,0.17,0.11,0.12,0.07,0.2,0.21,0.11,0.07,0.16,0.14,0.07,0.13,0.15,0.23,0.1,0.18,0.16,0.28,0.06,0.08,0.17,0.25,0.36,0.55,0.15,0.49,1,0.56,0.39,0.39,0.4,0.43,0.49,0.31,0.6,0.43,0.44,0.21,0.4,0.48,0.43,0.19,0.51,0.36,0.42,0.34,0.32,0.23,0.27,0.37,0.42,0.1,0.38,0.32,0.5,0.12,0.39,0.31,0.17,0.18,0.05,0.19,0.53,0.01,0.57,0.19,0.44,0.09,0.41,0.18,0.24,0.27,0.4,0.23,0.5,0.45,0.38,0.33,0.35,0.6,0.42,0.3,0.48,0.23,0.3,0.14
