Document,announcement,poet,economy,requirement,recognition,congratulation,philosophy,rumour,recall,knowledge,comedy,libel,lead,music,myth,tendency,deal,win,poetry,council,second,siren,vote,phone,permission,meeting,statement,provision,question,friend,spite,hoarse,lukewarm,loud,silent,shrill,husky,mellow,thudding,crashing,echoing,resounding,muffled,howling,screaming,cooing,crunching,laughing,muttering,squeaking,murmuring,hissing,whining,buzzing,barking,snorting,snarling,growling,audible,warbling,banging,popping,creaking,scratchy,groaning,screeching,meowing,rhythmic,gooey,purring,thumping,beeping,hushed,lilting,moaning,circular,thunderous,gurgling,whimpering,melodious,mumbling,jingling,rustling,tinkling,soundless,giggling,crackling,whispering,noisy,blaring,shrieking,stormy,deafening,clamorous
announcement,1,0.01,0.03,0.08,0.24,0,0.02,0.15,0.18,0.05,0.12,0.17,0.21,0.15,0.06,0.08,0.23,0.29,0.01,0.17,0.14,0.14,0.21,0.19,0.22,0.39,0.12,0.16,0.2,0.25,0.22,0.17,0.06,0.21,0.31,0.21,0.07,0.08,0.04,0.1,0.06,0.21,0.15,-0.01,0.17,0.08,0.11,0.25,0.2,0.04,0.08,0.14,0.09,0.15,0.1,0.03,0.09,0.07,0.19,0.19,0.1,0.08,0.15,0.07,0.09,0.15,0.1,0.05,0.04,0.18,0.17,0.06,0.2,0.05,0.08,0.03,0.15,0.19,0.07,0.06,0.13,0.07,0.1,0.07,0.09,0.11,0.1,0.2,0.25,0.15,0.19,0.11,0.16,0.01
poet,0.01,1,0.01,0,0.06,0.05,0.24,0.02,0.07,0.05,0.34,-0.03,0.03,0.23,0.26,0.09,0.07,0.07,0.98,0.04,0.04,0.05,0.01,0,0.01,0,0.08,0.01,0.02,0.06,0.05,0.01,0.09,0.05,0.09,0.02,0.04,0.09,0.05,0.01,0,0.04,0.03,0.03,0.02,0.05,0.25,0.04,-0.02,0.03,0.2,0,0.04,0,-0.01,-0.02,0.01,-0.02,0.07,-0.02,0.02,-0.01,0.01,0,0.04,0.07,0,0.34,0.02,0.04,-0.01,-0.03,0.07,0.63,0.02,-0.02,0.03,0.04,-0.01,0.44,-0.03,0.01,0.06,0.05,0.04,0,0.03,0.04,0.02,0,0.02,0.09,-0.02,-0.03
economy,0.03,0.01,1,0.08,0.18,-0.01,0.06,0,0.15,0.02,0,-0.01,0.15,0.02,0.04,0.09,0.3,0.04,0.01,0.1,0.12,0.04,0.06,0.02,0.07,0.06,0.02,0.11,0.08,-0.01,0.13,-0.02,0.03,0,0.01,0,0.01,-0.02,0.01,0,0.02,0.04,0,-0.01,0,-0.02,0,0.01,0,-0.01,-0.01,-0.02,0,0,0,0.03,0.01,0.01,-0.01,-0.02,-0.01,0.01,0,-0.03,0.01,0.05,0,0.02,0.03,0,0.01,0,-0.01,-0.02,0.02,0.11,0.01,-0.02,-0.02,0.01,-0.01,-0.01,-0.02,0,-0.01,0.04,0.01,0,0.02,-0.01,-0.01,0,0.03,-0.02
requirement,0.08,0,0.08,1,0.3,-0.02,0.12,0.01,0.14,0.23,-0.03,0.17,0.21,-0.03,0.15,0.22,0.16,0.05,0,0.17,0.2,0.02,0.18,-0.01,0.23,0.16,0.13,0.47,0.12,-0.01,0.18,0.04,0.07,0.04,0.06,-0.04,0.01,0.05,0,0.08,0.04,0.03,0.01,-0.04,0.02,0.03,0.01,0.01,0.05,-0.02,-0.02,-0.01,-0.02,0.06,-0.01,0.03,-0.02,0.05,0.1,0.06,0,-0.03,0.04,0.02,0,0.05,-0.02,0.06,0.01,0.01,0.05,0.08,0.03,-0.01,-0.01,0.02,0.06,0.07,0.02,0.05,0.01,0,0.04,-0.02,0,0,-0.01,0.04,0.01,-0.02,-0.04,0,-0.03,0
recognition,0.24,0.06,0.18,0.3,1,0.03,0.24,0.05,0.32,0.37,0.24,0.09,0.21,0.15,0.24,0.28,0.37,0.2,0.06,0.14,0.22,0.03,0.13,0.03,0.17,0.28,0.05,0.29,0.22,0.13,0.29,0.15,0.08,0.12,0.22,0.12,0.07,0.18,0.04,0.11,0.12,0.15,0.13,0.06,0.11,0.05,0.05,0.1,0.11,-0.01,0.12,0.07,0.06,0.09,0.08,0.09,0.11,0.1,0.18,0,0.09,0.07,0.11,0.08,0.1,0.1,0.01,0.12,0.03,0.05,0.12,0,0.14,-0.01,0.06,0.06,0.12,0.08,0.08,0.07,0.1,0.08,0.16,0.11,0.13,0.14,0.07,0.17,0.12,0.11,0.05,0.05,0.02,0.13
congratulation,0,0.05,-0.01,-0.02,0.03,1,0.01,0.02,-0.04,-0.01,0.03,-0.02,0.01,-0.05,0.08,-0.05,0.01,0.05,0.05,-0.04,0.08,0.08,0,0.07,0.09,0.04,-0.07,-0.03,-0.05,0.11,-0.02,0.08,0.01,0.09,-0.03,0.03,0.07,-0.03,0.03,-0.01,0,-0.01,0.05,0.05,0.16,-0.01,0.01,0.11,0.03,0.03,-0.02,0.13,0.06,-0.01,0.04,0.06,0.09,0.05,-0.12,0.07,0.22,0.13,0.04,-0.02,0.13,0.18,0.13,-0.03,0.01,0,-0.04,-0.03,-0.03,0.02,0.1,0,-0.09,-0.02,-0.01,0.04,0.15,-0.02,-0.1,-0.05,-0.01,0.05,-0.05,-0.05,0.07,0.02,-0.11,0.01,0,0.02
philosophy,0.02,0.24,0.06,0.12,0.24,0.01,1,-0.04,0.11,0.57,0.19,0.02,0.11,0.05,0.38,0.27,0.21,0.02,0.23,0.04,0.1,-0.03,0.02,0,0.02,0.08,0.15,0.19,0.24,0.03,0.18,0.02,0.02,0.01,0.05,0,0.02,0.14,-0.04,-0.01,0.01,0.04,0.02,0.02,-0.01,-0.01,0.05,0,-0.04,-0.01,0.04,-0.01,0.01,-0.04,0.02,-0.02,0.04,0.06,0.13,-0.03,0.02,0.02,-0.01,0.01,0.05,0,0,0.06,0.02,-0.04,-0.03,0,0,0.08,-0.05,0.1,0.02,0.04,0.02,0.05,-0.01,-0.02,0.07,0.02,-0.02,-0.04,0.01,-0.06,0.01,-0.02,-0.01,0.08,-0.01,0.09
rumour,0.15,0.02,0,0.01,0.05,0.02,-0.04,1,0.01,0.03,0.05,0.09,0.11,0,0.03,-0.06,0.13,0.11,0.01,0.1,0.04,0.1,0.05,0.02,0.12,0.15,0.01,0.01,0,0.32,0.18,0.08,0,0.06,0.2,0.14,-0.01,0.12,0.01,0.06,0.14,0.15,0.03,0.05,0.04,0.07,0,0.08,0.16,-0.12,0.12,-0.06,0.03,0.07,0.03,0.11,0.07,0,0.14,-0.02,-0.04,-0.04,0.17,-0.12,0.07,0.07,-0.03,0.01,-0.09,0.04,0.01,-0.07,0.13,-0.01,0.06,0.05,0,-0.01,-0.05,0.07,0.02,0.11,0.16,0.08,0.19,0.12,0.01,0.11,0.07,0.06,0.07,-0.01,0.06,0.16
recall,0.18,0.07,0.15,0.14,0.32,-0.04,0.11,0.01,1,0.29,0.03,0.05,0.26,0.06,0.08,0.31,0.29,0.14,0.07,0.07,0.23,0.09,0.15,0.08,0.06,0.18,0.11,0.15,0.2,0.08,0.16,0.04,0.14,0.07,0.17,0.09,0.05,0.06,0.06,0.03,0.07,-0.01,0.07,0,0.08,0,0.06,0.08,0.01,0.01,0.11,0.07,0.02,0.06,0.04,-0.01,0.03,0.01,0.09,-0.02,0.05,0.07,0.11,0.12,0.05,0.09,-0.01,0.15,0.08,0.02,0.09,0,0.1,0.05,0.03,0.25,0.05,0.08,-0.03,0.07,0.04,0.04,0.09,0.07,0.07,0.04,0.18,0.07,0.13,0.02,0.04,0.05,0,-0.01
knowledge,0.05,0.05,0.02,0.23,0.37,-0.01,0.57,0.03,0.29,1,0.08,0.11,0.19,0.04,0.15,0.21,0.35,0.09,0.06,0.05,0.13,0.06,0.01,0.04,0.02,0.15,0.14,0.11,0.26,0.07,0.23,0.05,0.06,0.03,0.11,0.02,0.02,0.05,0.04,0.02,-0.02,0.08,0.06,0.02,0.01,0.05,0.04,0.04,0.06,-0.02,0.07,0.01,0,-0.01,0.02,0.04,0.03,0.09,0.12,-0.01,-0.01,0.01,0.01,0.04,-0.01,0,-0.04,0.05,-0.03,0.03,-0.01,0.11,0.03,-0.06,-0.01,0.12,0.06,0.04,0.02,0.04,0.04,0.05,0.09,0.05,0.04,0.04,0.08,0,0.04,0,-0.01,0.08,0.01,0.07
