"","letters","phonemes_DUTCHPOND","orth_neighbours_DUTCHPOND","phon_neighbours_DUTCHPOND","freq_lg10CD_SUBTLEXNL","freq_lg10WF_SUBTLEXNL","freq_CELEX_lem","AoA_Brysbaertetal2014","concrete_Brysbaertetal2014"
"letters",1,0.941846997591697,-0.646753149579364,-0.629735466078746,-0.364475411574416,-0.380716408832517,-0.211793304774659,0.490864993771779,-0.41510834270076
"phonemes_DUTCHPOND",0.941846997591697,1,-0.617133748167627,-0.633054521463093,-0.361805070542246,-0.368662359521947,-0.23695802066455,0.51261748620081,-0.396837619841712
"orth_neighbours_DUTCHPOND",-0.646753149579364,-0.617133748167627,1,0.878904795181791,0.328566441902428,0.338377651707694,0.200505850069477,-0.467144235968959,0.390639831631744
"phon_neighbours_DUTCHPOND",-0.629735466078746,-0.633054521463093,0.878904795181791,1,0.349109998017419,0.351612952209279,0.219928662528754,-0.436913349953746,0.348440173996784
"freq_lg10CD_SUBTLEXNL",-0.364475411574416,-0.361805070542246,0.328566441902428,0.349109998017419,1,0.987383973057623,0.775889965581653,-0.585247867510821,0.00654856513071275
"freq_lg10WF_SUBTLEXNL",-0.380716408832517,-0.368662359521947,0.338377651707694,0.351612952209279,0.987383973057623,1,0.756784729190342,-0.600779849276404,0.039173410819711
"freq_CELEX_lem",-0.211793304774659,-0.23695802066455,0.200505850069477,0.219928662528754,0.775889965581653,0.756784729190342,1,-0.4304475478766,-0.124210942348851
"AoA_Brysbaertetal2014",0.490864993771779,0.51261748620081,-0.467144235968959,-0.436913349953746,-0.585247867510821,-0.600779849276404,-0.4304475478766,1,-0.568624935486602
"concrete_Brysbaertetal2014",-0.41510834270076,-0.396837619841712,0.390639831631744,0.348440173996784,0.00654856513071275,0.039173410819711,-0.124210942348851,-0.568624935486602,1
