"","letters","phonemes_DUTCHPOND","orth_neighbours_DUTCHPOND","phon_neighbours_DUTCHPOND","freq_lg10CD_SUBTLEXNL","freq_lg10WF_SUBTLEXNL","freq_CELEX_lem","AoA_Brysbaertetal2014","concrete_Brysbaertetal2014"
"letters",1,0.940224640048734,-0.72741678125688,-0.702769552194985,-0.508082680884222,-0.509192399816163,-0.550050381800106,0.404639109958711,-0.0904465133266607
"phonemes_DUTCHPOND",0.940224640048734,1,-0.716498602468875,-0.732398808219475,-0.48566043568597,-0.486140448783052,-0.554784609215997,0.457048892555052,-0.0900021197714374
"orth_neighbours_DUTCHPOND",-0.72741678125688,-0.716498602468875,1,0.895175638943936,0.467318242548756,0.469548552056643,0.517650665925169,-0.416794044676133,0.117973421013443
"phon_neighbours_DUTCHPOND",-0.702769552194985,-0.732398808219475,0.895175638943936,1,0.476845078830175,0.477914209320197,0.516944657347153,-0.438204652604722,0.155648282899193
"freq_lg10CD_SUBTLEXNL",-0.508082680884222,-0.48566043568597,0.467318242548756,0.476845078830175,1,0.994561855981679,0.838489561893655,-0.654403115363052,-0.166023546114465
"freq_lg10WF_SUBTLEXNL",-0.509192399816163,-0.486140448783052,0.469548552056643,0.477914209320197,0.994561855981679,1,0.831804315633544,-0.64577519227971,-0.161241915382245
"freq_CELEX_lem",-0.550050381800106,-0.554784609215997,0.517650665925169,0.516944657347153,0.838489561893655,0.831804315633544,1,-0.699770778938536,-0.100008783821342
"AoA_Brysbaertetal2014",0.404639109958711,0.457048892555052,-0.416794044676133,-0.438204652604722,-0.654403115363052,-0.64577519227971,-0.699770778938536,1,-0.254252032417932
"concrete_Brysbaertetal2014",-0.0904465133266607,-0.0900021197714374,0.117973421013443,0.155648282899193,-0.166023546114465,-0.161241915382245,-0.100008783821342,-0.254252032417932,1
