word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,a8,h8,v8
hoorbaar,0,5,0,0,5,0,0,5,0,0,5,0,3,5,3,0,5,0,0,5,0,5,0,2
klappend,5,5,3,3,5,2,3,3,3,5,5,5,5,3,3,0,5,5,4,5,5,4,5,2
golvend,2,2,5,1,3,4,0,3,1,5,5,5,5,5,5,3,0,5,4,0,5,4,1,4
lelijk,0,0,5,0,3,5,0,3,5,0,0,5,2,2,2,3,0,5,3,0,5,3,2,5
stralend,0,0,5,1,2,4,0,0,5,0,0,5,5,5,5,0,0,5,0,0,5,3,3,5
plantaardig,2,0,4,1,2,2,3,0,4,0,0,0,5,5,5,0,0,1,3,0,5,0,3,3
breed,3,0,5,2,2,4,3,0,5,0,0,5,5,5,5,2,0,5,5,0,5,0,4,5
swingend,0,0,5,4,4,4,3,3,4,5,5,5,5,5,5,0,3,5,3,5,5,5,2,5
morsend,1,1,5,3,2,4,4,0,5,0,3,5,5,5,5,2,2,5,4,0,5,3,2,4
klein,3,0,5,3,2,4,1,0,5,0,0,5,2,2,2,3,0,5,5,0,5,2,4,5
fluitend,,,,,,,,,,3,5,3,,,,,,,0,5,4,,,
gestreept,0,0,5,0,0,5,0,0,5,2,0,5,5,5,5,1,0,5,0,0,5,0,2,5
levendig,2,3,5,1,3,4,3,0,4,2,3,5,5,5,5,1,3,5,0,0,5,4,3,5
schimmig,0,0,4,1,2,5,,,,,,,4,4,4,0,1,3,0,0,4,3,1,4
plastic,4,1,4,4,0,3,4,0,5,2,3,5,5,5,5,3,2,4,5,3,5,3,4,5
krakend,2,5,2,2,5,0,0,5,0,0,5,0,5,5,5,1,5,1,0,5,0,5,2,2
vierkant,3,0,5,4,0,5,1,0,5,2,0,5,5,5,5,2,0,5,5,0,5,1,4,5
drassig,4,2,4,5,4,3,,,,,,,4,4,4,3,2,3,5,0,4,4,5,4
drapperig,4,2,4,5,4,3,4,0,5,,,,4,4,4,3,2,3,,,,1,4,2
knapperend,4,4,3,3,4,2,0,5,2,2,5,0,4,4,4,1,4,2,3,5,0,5,0,4
wasachtig,5,0,3,4,0,3,,,,,,,4,4,4,3,1,3,5,0,3,1,5,3
recht,3,0,5,3,0,5,5,0,5,0,0,5,5,5,5,3,0,5,5,0,5,0,2,4
gorgelend,2,5,4,3,5,3,3,4,0,,,,3,5,5,0,4,3,2,5,4,5,0,3
sprankelend,0,1,5,1,3,5,0,0,5,0,0,4,5,5,5,0,0,5,4,3,5,3,2,4
kietelend,5,1,3,5,1,3,5,0,0,3,5,3,5,3,5,5,2,3,5,0,5,2,5,4
glad,5,0,4,5,2,4,4,0,5,5,0,3,5,5,5,5,1,4,5,2,5,1,4,4
iel,4,0,4,4,3,5,4,0,5,,,,4,4,4,3,1,3,3,4,5,1,1,4
gewichtloos,4,1,3,2,0,4,0,0,5,0,0,1,5,5,5,5,1,1,4,0,0,2,4,5
puntig,5,0,4,4,0,4,4,0,5,4,0,3,5,5,5,3,0,5,5,0,5,0,3,5
stilstaand,2,2,5,0,2,4,0,0,5,5,0,5,4,4,4,1,1,5,2,0,4,2,0,4
