word,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,a8,h8,v8
vreemd,3,3,3,4,3,4,0,4,4,0,0,0,4,4,4,1,3,4,4,4,4,3,1,5
ongelijk,4,4,4,4,2,4,5,0,5,0,0,5,3,3,3,3,2,3,4,1,4,2,3,4
doorweekt,4,0,4,5,2,4,4,0,4,5,0,5,5,5,5,4,2,4,5,0,5,3,5,4
hitsig,4,2,3,3,3,3,5,1,2,0,0,2,5,5,5,3,3,3,4,3,4,2,4,3
koerend,,,,,,,,,,,,,2,2,2,0,5,1,0,5,0,5,0,1
steil,5,0,4,4,0,5,0,0,5,0,0,5,5,3,5,3,0,4,0,0,5,1,3,5
solide,5,1,5,4,0,4,,,,0,0,0,5,5,5,4,1,4,5,0,5,0,4,5
blinkend,0,0,5,2,2,4,0,0,4,0,0,3,5,5,5,0,0,5,0,0,5,1,2,5
sissend,0,5,0,2,3,2,0,4,0,0,5,0,5,5,5,0,5,1,3,4,5,5,2,4
tintelend,5,0,0,3,1,2,4,0,0,0,0,2,5,5,5,4,0,0,5,0,0,0,5,0
puur,1,2,3,2,2,3,1,0,1,0,0,0,5,5,5,1,1,1,0,0,0,2,2,5
roestig,3,1,5,4,0,4,1,0,4,0,0,5,3,3,3,2,1,5,0,4,5,1,1,5
piepklein,3,0,5,4,0,5,0,0,4,3,0,5,2,2,2,3,0,3,0,0,5,0,0,5
schriel,,,,3,0,4,2,0,4,,,,2,2,2,1,0,5,0,4,5,2,2,5
rot,1,0,5,2,2,4,3,0,4,0,0,0,2,2,2,3,0,5,3,0,5,1,3,4
taai,3,0,3,4,3,4,3,0,0,3,3,3,3,3,3,5,1,1,5,0,5,1,4,3
transparant,0,0,5,0,0,5,0,0,4,0,0,0,5,5,5,0,0,5,0,0,5,0,3,4
zeer,5,0,3,5,1,1,4,0,2,5,3,3,5,5,5,3,1,1,5,0,5,1,4,3
driehoekig,3,0,5,4,0,5,0,0,4,0,0,5,5,5,5,3,0,5,5,0,5,0,3,5
verouderd,2,0,4,2,3,4,1,0,4,2,0,5,2,2,2,2,2,4,0,0,5,1,3,5
glinsterend,0,0,5,0,0,5,0,0,5,0,0,5,5,5,5,0,0,5,0,0,5,0,1,4
groeiend,1,0,5,3,2,3,0,0,4,0,0,5,5,5,5,3,1,5,4,0,5,1,3,5
geel,0,0,5,0,0,5,0,0,5,0,0,5,5,5,5,0,0,5,0,0,5,0,2,5
zijdeachtig,5,0,3,4,0,4,3,0,4,5,0,5,4,4,4,5,1,3,3,0,5,3,5,3
gespikkeld,0,0,5,0,0,5,0,0,4,0,0,5,2,2,2,0,0,5,0,0,5,0,0,4
tijlpend,0,5,0,,,,,,,,,,2,5,2,0,5,1,0,5,3,,,
echoënd,0,5,0,0,5,0,0,5,0,0,5,0,2,2,2,0,5,1,0,5,0,5,0,2
vlekkeloos,0,0,5,1,0,5,0,0,4,0,0,5,5,3,5,2,0,5,0,0,5,0,0,5
stormachtig,5,5,0,4,5,5,3,2,3,0,5,5,5,5,5,1,3,5,3,5,5,5,2,5
warm,5,0,2,5,2,3,4,0,1,5,0,0,5,5,5,5,1,2,4,0,3,2,3,4
kleverig,5,1,3,5,3,3,4,0,2,5,3,1,3,3,3,5,1,2,5,0,2,3,5,4
stevig,4,0,4,3,0,4,3,0,3,1,5,2,3,3,3,4,2,3,4,0,4,2,4,4
gezet,3,0,5,3,1,4,1,0,4,0,0,4,3,3,3,1,1,5,1,0,4,3,4,5
fuchsia,0,0,5,0,0,5,0,0,5,0,0,5,1,1,1,0,0,5,0,0,4,0,0,5
ruig,2,0,4,3,4,4,0,1,3,0,0,0,5,5,5,2,2,3,0,3,5,4,3,5
huilend,1,4,5,3,5,4,1,3,4,0,5,5,5,5,5,0,5,5,0,5,5,4,2,5
spits,5,0,5,4,0,5,1,0,4,5,0,5,3,3,3,3,0,5,5,0,5,0,3,4
glibberig,5,0,3,5,1,3,2,0,3,5,2,2,5,4,4,5,1,2,5,0,2,3,4,3
gevlekt,,,,,,,,,,0,0,5,,,,,,,0,0,5,,,
slijmerig,5,2,4,5,2,3,2,0,3,0,0,3,5,4,4,5,1,2,5,1,5,2,5,1
robuust,3,0,4,3,2,4,1,0,4,0,0,3,4,4,4,3,1,4,5,3,5,1,4,3
doorschijnend,0,0,5,0,0,4,0,0,5,0,0,1,4,4,4,0,0,5,0,0,5,0,1,5
rechthoekig,4,0,5,3,0,5,2,0,5,0,0,5,3,3,3,3,0,5,5,0,5,0,3,4
prikkelend,5,0,2,3,2,4,4,0,2,3,0,5,5,5,5,4,1,1,5,0,5,1,4,3
doornig,5,0,3,4,2,3,2,0,5,3,0,5,5,5,5,5,0,3,5,0,5,0,3,5
rond,4,0,5,3,0,5,1,0,5,1,0,5,3,3,3,3,0,5,5,3,5,0,3,4
giechelend,0,5,5,2,4,4,0,4,1,0,5,5,5,5,5,0,5,3,0,5,4,5,1,3
gepolijst,4,0,4,2,2,3,0,0,5,0,0,5,5,5,5,5,0,3,5,0,5,0,2,4
blaffend,0,5,3,0,5,2,0,5,2,0,5,5,5,5,5,0,5,3,0,5,3,4,1,2
roodachtig,0,0,5,0,0,5,0,0,4,0,0,5,4,4,4,0,0,5,0,0,5,0,0,5
snel,1,1,5,3,3,4,0,1,5,0,3,4,4,4,4,2,3,5,0,0,4,3,1,4
deftig,0,0,5,2,4,5,0,3,3,0,4,4,4,4,4,0,4,4,0,5,5,2,1,4
rood,0,0,5,0,0,5,0,0,5,0,0,5,4,4,4,0,0,5,0,0,5,0,0,4
grommend,0,5,3,2,5,3,0,5,2,0,5,4,4,4,4,0,5,3,0,5,2,5,0,3
zacht,5,3,3,5,0,3,2,2,2,3,0,2,5,5,5,5,1,3,5,4,4,1,4,4
kreunend,0,5,1,2,5,2,0,5,0,0,5,1,5,5,5,0,5,3,0,5,0,4,1,3
langgerekt,3,0,5,4,0,3,0,0,4,0,0,5,5,5,5,2,0,5,0,5,5,2,1,4
soepel,2,0,4,4,0,2,1,0,4,0,0,2,5,5,5,3,3,3,5,0,3,0,3,4
paars,0,0,5,0,0,5,0,0,5,0,0,5,3,3,3,0,0,5,0,0,5,0,0,4
sterk,3,0,4,3,3,4,3,0,3,0,0,3,5,5,5,3,1,3,5,0,3,1,2,4
onrijp,4,0,4,4,0,3,3,0,2,0,0,3,2,2,2,2,0,4,3,0,5,2,3,3
hees,1,5,0,0,5,2,0,5,0,0,5,0,3,5,3,0,5,0,0,5,0,5,0,2
zwak,4,0,5,2,0,2,2,0,3,0,0,3,2,2,2,3,3,3,5,5,5,1,2,4
oorverdovend,0,5,0,0,5,0,0,5,0,0,5,0,5,5,5,0,5,0,0,5,0,5,0,2
lauw,5,0,0,5,0,2,4,0,0,3,0,0,3,3,3,5,0,1,4,0,0,0,4,2
gezwollen,5,0,5,4,2,5,2,0,4,5,0,5,4,4,4,3,0,5,5,0,5,0,4,4
kort,2,0,5,2,0,4,0,0,4,0,0,5,2,2,2,3,1,5,4,0,5,1,1,4
zonnig,3,0,5,4,4,4,3,0,5,5,0,5,5,5,5,1,1,5,5,0,5,2,3,4
knarsend,2,5,1,3,5,3,0,5,0,3,5,0,3,3,3,0,5,2,4,5,3,3,3,2
roosterend,1,1,2,2,3,2,0,0,5,0,3,3,4,4,4,2,2,4,0,3,5,1,2,4
zoemend,0,5,0,1,5,3,0,5,1,0,5,2,2,2,2,0,5,1,0,5,0,5,2,2
nat,5,2,5,5,3,4,5,0,3,3,0,5,5,5,5,3,1,4,5,0,5,2,4,4
wollig,5,0,5,4,2,4,4,0,4,3,0,3,3,3,3,3,0,4,5,0,5,1,4,4
strak,4,0,3,5,2,4,0,0,4,1,0,5,5,5,5,2,1,4,5,0,4,1,2,4
piekerig,3,0,5,1,3,3,2,0,4,0,0,3,3,3,3,3,0,3,0,0,5,0,2,4
grof,5,0,4,4,1,4,3,0,3,3,0,3,3,3,3,4,2,4,4,5,5,1,3,4
mals,5,0,3,4,2,2,4,0,3,1,0,3,5,5,5,5,1,1,5,0,5,2,5,3
ondiep,5,2,5,4,1,5,3,0,4,0,0,5,2,2,2,3,1,4,4,0,5,1,3,5
schetterend,,,,1,4,0,0,5,0,,,,2,2,2,0,5,0,0,5,0,4,1,2
zilveren,0,0,5,2,3,4,0,0,4,0,0,5,5,5,5,0,0,5,0,0,5,0,0,4
mager,3,0,5,3,0,5,3,0,3,5,0,5,4,4,4,1,0,5,4,0,5,1,3,5
zeepachtig,3,0,5,4,2,4,0,0,4,5,0,5,4,4,4,3,0,3,4,0,5,2,4,4
kabbelend,1,4,3,3,4,5,,,,,,,3,3,3,2,4,3,0,4,5,4,3,4
wit,0,0,5,0,0,5,0,0,5,0,0,5,3,3,3,0,0,5,0,0,5,0,0,5
teerachtig,4,0,4,3,0,3,1,0,4,,,,2,2,2,2,1,3,5,2,5,1,3,4
