"","cat","word","PC1","PC2","PC3"
"1","conc","advies",-0.664506009792209,0.504401217718145,-1.08032921671168
"15","conc","eeuw",-1.6605809281561,0.542908022437038,-0.74296252884663
"16","conc","vraag",-0.456654740365918,1.87761032527266,0.0245131141721623
"28","conc","democratie",1.73625353744352,0.127392663811148,-0.172924357298821
"39","conc","filosofie",0.949014195656695,-0.0126999182894412,-0.29709348642744
"40","conc","minuut",-0.5450491980365,0.930398690518502,-1.06142910974246
"41","conc","titel",-0.816943139139038,0.150146997999924,-0.783757912740911
"42","conc","uur",-1.43584914843738,1.61419165726811,0.0175966118457319
"50","conc","mythe",-1.00572064410603,-0.727615580005123,-0.129906512220442
"54","conc","republiek",0.848717873637051,-0.269552698668435,-0.417716254641707
"62","conc","factor",-0.394723025097396,-0.33784507309015,-0.806544219751094
"68","conc","beheer",-0.093116613638913,-1.07309161015255,0.537735149168525
"69","conc","rekening",0.558373092144589,1.0296180296729,-0.579251290346132
"70","conc","oosten",-0.435771422825294,0.0483618133461523,-0.240478310612071
"71","conc","socialist",0.756724590605163,-1.22494198690282,-0.306637426511276
"72","conc","wrok",-1.31402882407568,-1.05640982519016,-0.180752713615842
"77","conc","antwoord",0.60460153314228,1.56380316925792,-0.721869284205725
"78","conc","cijfer",-0.703447985023612,-0.529721347875143,-0.771397316458099
"79","conc","god",-0.699343867075152,1.5900742412763,1.38931493111717
"80","conc","oorsprong",0.613215361623243,-0.437843663798913,-0.315458033436488
"81","conc","slavernij",0.785428768651144,-0.536707507220931,-0.380344122878077
"82","conc","theorie",-0.370309944582431,0.631644017410598,-1.01599033686432
"83","conc","westen",0.283608281670476,0.294377237622951,0.926218363015742
"84","conc","zicht",-0.38153521164308,-0.109348645717782,1.33291181648283
"91","conc","academie",0.250774152324439,-0.512358453614089,-0.572907870070747
"92","conc","afdeling",0.500141997292758,0.64552356702169,-0.531133726265156
"93","conc","economie",0.372501583336844,-0.0797493349981325,-0.554933718415911
"94","conc","kennis",-0.495904716874722,1.02928689513991,-0.96191204549336
"95","conc","nacht",-0.256744874610223,1.38888779735927,0.836383479281722
"96","conc","plicht",-0.453652507980537,0.26941244286499,-0.368152175634514
"97","conc","primair",NA,NA,NA
"98","conc","raad",-0.0229257453296143,0.615431656501215,3.14721553866508
"99","conc","reflectie",0.724308493626943,-1.23743288514576,-0.21855405126447
"100","conc","rol",-0.604953055925892,0.535422072542818,2.12166788700869
"101","conc","sergeant",0.65245003735441,0.412318912359313,-0.579482692669342
"102","conc","uitzicht",0.0813274449827164,0.265333927682246,-0.775381661948259
"104","conc","administratie",3.30659659208328,-0.20850859028239,0.554223048203137
"105","conc","neiging",-0.503196759203134,-0.434382445598884,-0.887173154737887
"106","conc","voornemen",0.964961140502072,-1.12970247643615,0.246301957717409
"107","conc","vrijwilliger",2.25195725727646,-0.388461802373782,0.443147886106163
"111","conc","achtergrond",2.02476626605049,0.464065429125884,-0.128482019946112
"112","conc","exemplaar",1.15093420312916,-0.171192574965925,-0.32464625090415
"113","conc","mars",-0.739867520078513,-0.397422668618386,1.07794599083451
