"","word","PC_length","PC_freq","PC_distinctiveness"
"417","aards",-1.05947064568725,-0.287288044864596,-0.0422522201890322
"418","absorberend",NA,NA,NA
"419","amber",-1.18807260553368,-0.152956219661011,-1.11275719587913
"420","barstend",NA,NA,NA
"421","behaard",0.149583798388868,-0.484255430965973,0.406239365675017
"422","beige",-1.51438899330259,-0.271777536084388,-1.12261294337997
"423","beschimmeld",NA,NA,NA
"424","betoverend",NA,NA,NA
"425","bevriezend",NA,NA,NA
"426","bewolkt",0.130082756112545,-0.274065955986861,-0.502586991792505
"427","blaffend",NA,NA,NA
"428","blauw",-0.995370509489386,1.17180146120958,-0.380463559936071
"429","bleek",-0.775977082348992,0.909353673118719,-0.328080504053139
"430","blij",-0.941072254171862,1.63452962444049,0.00659225775767414
"431","blinkend",NA,NA,NA
"432","bloedig",-0.0481256265178473,-0.411428693975987,-0.153679984204809
"433","bloemrijk",NA,NA,NA
"434","blond",-0.608345455495194,0.764749257797721,-0.518508065633914
"435","bolvormig",NA,NA,NA
"436","bonzend",NA,NA,NA
"437","borstelig",NA,NA,NA
"438","botsend",NA,NA,NA
"439","brak",-1.02093188485593,0.0909351258669639,0.415011863779772
"440","breed",-0.525427450416295,0.565613196239993,0.502490901232177
"441","breekbaar",0.823463593641094,0.141850227162877,-0.41682522828684
"442","briesend",NA,NA,NA
"443","briljant",1.19151786818593,1.2901221535951,-0.577408467123742
"444","brommend",NA,NA,NA
"445","bronzen",0.345152160891439,-0.0220320149367215,-0.232696243095124
"446","broos",-0.930242031369461,-0.629037631491626,0.555983971444109
"447","bruin",-0.998256909720837,0.827143764292874,-0.799279146400231
"448","bruinharig",NA,NA,NA
"449","circulair",NA,NA,NA
"450","compact",0.185401631418448,-0.228708702888068,-0.438559706823255
"451","conisch",NA,NA,NA
"452","deftig",-0.20817067765924,0.185477527439214,-0.40983741909677
"453","diep",-0.689355080631609,1.28611486182608,0.871752516334979
"454","dik",0.0202962721571823,0.367787608892262,3.96697852432455
"455","dof",-0.789289863288971,-1.37222775925279,3.43210638082147
"456","donderend",NA,NA,NA
"457","donker",0.312742508118393,1.9016200922242,-0.577984134058923
"458","donzig",-0.632302643338875,-0.657174631333908,-0.718658090676888
"459","dood",0.0909696422361759,1.75049789801637,2.36037239486536
"460","doornig",NA,NA,NA
"461","doorschijnend",NA,NA,NA
"462","doorweekt",0.781192790215702,0.124734131315702,-0.503232710669915
"463","drapperig",NA,NA,NA
"464","drassig",NA,NA,NA
"465","driehoekig",NA,NA,NA
"466","droog",-0.851839593355621,1.00972483814672,-0.600120269545258
"467","druk",-0.626027098593955,1.75690768976688,-0.0564128312770526
"468","echoënd",NA,NA,NA
"469","effen",-1.25181340154056,-0.827745896805259,-0.0517940878016853
"470","elastisch",NA,NA,NA
"471","elegant",0.44589753518681,0.809490081647982,-0.675353441972424
"472","enorm",-0.593671716887266,1.59901600475052,-1.17920043954873
"473","flikkerend",NA,NA,NA
"474","floraal",NA,NA,NA
"475","fluisterend",NA,NA,NA
"476","fluitend",NA,NA,NA
"477","fonkelend",NA,NA,NA
"478","fuchsia",NA,NA,NA
"479","galmend",NA,NA,NA
"480","geblokt",NA,NA,NA
"481","gebogen",0.958230683144595,0.234081580662342,1.03476936842674
"482","gebroken",1.52118215460729,1.70030777370334,-0.120188208617948
"483","gedempt",NA,NA,NA
"484","geel",-0.954806101056986,0.279169301801942,1.07211938637432
"485","geluidloos",NA,NA,NA
"486","geneeskrachtig",NA,NA,NA
"487","gepatroneerd",NA,NA,NA
"488","geplooid",NA,NA,NA
"489","gepolijst",NA,NA,NA
"490","geschubd",NA,NA,NA
"491","gesmolten",NA,NA,NA
"492","gespikkeld",NA,NA,NA
"493","gestreept",1.25023154556131,-0.130032326948113,0.089054153165365
"494","getand",NA,NA,NA
"495","gevlekt",NA,NA,NA
"496","gevorkt",NA,NA,NA
"497","gevormd",0.376935252435818,0.899100339776097,-0.921072896473348
"498","gevouwen",NA,NA,NA
"499","gewelfd",NA,NA,NA
"500","gewichtloos",NA,NA,NA
"501","gezet",-0.455392895009721,1.46132414897345,-0.725099947648027
"502","gezwollen",1.24315260521972,0.349787070588359,-0.306576133399082
"503","giechelend",NA,NA,NA
"504","gierend",NA,NA,NA
"505","gigantisch",1.76874704766423,0.997298110420158,-0.181117546780408
"506","gillend",NA,NA,NA
"507","glad",-1.23717829730248,0.535605205905945,-0.54167453713237
"508","glanzend",NA,NA,NA
"509","glibberig",1.20301125625828,0.0846215974265553,-0.182984077188696
"510","glimmend",NA,NA,NA
"511","glinsterend",NA,NA,NA
"512","glitterend",NA,NA,NA
"513","gloeiend",0.880481183030538,0.279966448022076,0.205249369916645
"514","golvend",NA,NA,NA
"515","gorgelend",NA,NA,NA
"516","gouden",0.092155944457436,1.13766036102566,0.249125203478356
"517","grasachtig",NA,NA,NA
"518","grijs",-0.940108935013297,0.794545887993802,-0.653560311376262
"519","groeiend",NA,NA,NA
"520","groen",-0.599980998501825,1.00776208648895,0.0127652127547167
"521","grof",-1.09397631139666,0.544130949328703,-0.17910270341078
"522","grommend",NA,NA,NA
"523","groot",-0.156548670799124,2.2789320830769,-0.00695114443595669
"524","grotesk",0.15554197124867,-0.381298773902463,-0.389508295519895
"525","hard",0.0731303447482172,1.42300997635667,1.87963731291043
"526","hees",NA,NA,NA
"527","heet",0.253532754510882,0.890758324572187,3.4975537640134
"528","helder",0.391216449555148,1.19922062037323,0.19885271966301
"529","hitsig",-0.617234098631974,-0.461291127656969,-0.820981205667912
"530","hobbelig",0.410527994525252,-0.154307845050303,-0.562515728722252
"531","hoekig",NA,NA,NA
"532","hol",-0.388375040095254,-0.245952937962065,3.49048088494578
"533","hoog",-0.862791226497764,1.42344155773548,0.339973999952589
"534","hoorbaar",NA,NA,NA
"535","huilend",NA,NA,NA
"536","huilerig",NA,NA,NA
"537","iel",NA,NA,NA
"538","ijsachtig",NA,NA,NA
"539","ijzig",-1.3856796262542,-0.600348195055767,-0.567622575637699
"540","jammerend",NA,NA,NA
"541","jankend",NA,NA,NA
"542","jeukend",NA,NA,NA
"543","jodelend",NA,NA,NA
"544","kaatsend",NA,NA,NA
"545","kabbelend",NA,NA,NA
"546","karmozijn",NA,NA,NA
"547","kietelend",NA,NA,NA
"548","kil",-0.637633731445842,-0.887130905524091,3.41670836486551
"549","kladderig",NA,NA,NA
"550","klam",-1.07355925425966,-1.03959861338258,1.17110922159458
"551","klappend",NA,NA,NA
"552","klein",-0.478853432564449,2.15940081035619,-0.66743970756346
"553","kleurrijk",0.925760699635683,0.205381656511875,-0.240741992896062
"554","kleverig",0.882331443233342,0.0294262337415116,-0.303793028324702
"555","klonterig",NA,NA,NA
"556","knallend",NA,NA,NA
"557","knap",-0.365849908481586,0.937059920910443,1.25326908138724
"558","knapperend",NA,NA,NA
"559","knapperig",1.11624737796485,-0.0834654333392967,-0.220151719347562
"560","knarsend",NA,NA,NA
"561","koel",-0.485439104755712,-0.0233331511901556,2.46098999794556
"562","koerend",NA,NA,NA
"563","kokend",-0.206643279287948,-0.268486786527645,-0.0144042102585179
"564","kolossaal",0.825960912761034,-0.0336635815349046,-0.298063899849097
"565","koortsig",0.403630230371661,-0.23861692528252,-0.519146949584024
"566","korrelig",NA,NA,NA
